Run Name,Run 1
Run Date,02:53:42 PM   04-11-19
Method Name,Group 6 Spring 19 LG 5-45%
Export Format Version, 1.00
Method ID, 3848
Points/Second, 5.00
Number of Records,  11537
Offset from Run Start Time,00:00:00
Run End Time,00:38:30
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,-0.004827,-0.354544,  5,0.001410,-0.456717,  86.067,  194,     0.0
     0.2,-0.005474,-0.354547,  5,0.001429,-0.456717,  86.042,  195,     0.0
     0.4,-0.007320,-0.354541,  5,0.001449,-0.456704,  86.030,  196,     0.0
     0.6,-0.007919,-0.354544,  5,0.001468,-0.456717,  86.020,  197,     0.0
     0.8,0.000000,-0.354550,  5,0.001458,-0.456717,  86.005,  198,     0.0
     1.0,0.000000,-0.354547,  5,0.001449,-0.456717,  86.003,  196,     0.0
     1.2,0.000000,0.000000,  5,0.001410,-0.456717,  85.990,  195,     0.0
     1.4,0.000000,0.000000,  5,0.001507,-0.456717,  85.983,  194,     0.0
     1.6,0.000000,0.000000,  5,0.001507,-0.456729,  85.974,  192,     0.0
     1.8,0.000000,0.000000,  5,0.001507,-0.456731,  85.966,  192,     0.0
     2.0,0.000000,0.000000,  5,0.001507,-0.456687,  85.964,  192,     0.0
     2.2,0.000000,0.000000,  5,0.001507,-0.456708,  85.954,  192,     0.0
     2.4,0.000000,0.000000,  5,0.000000,0.000000,  85.954,  192,     0.0
     2.6,0.000000,0.000000,  5,0.000000,0.000000,  85.947,  195,     0.0
     2.8,0.000000,0.000000,  5,0.000000,0.000000,  85.942,  197,     0.0
     3.0,0.000000,0.000000,  5,0.000000,0.000000,  85.933,  196,     0.1
     3.2,0.000000,0.000000,  5,0.000000,0.000000,  85.922,  194,     0.1
     3.4,0.000000,0.000000,  5,0.000000,0.000000,  85.917,  193,     0.1
     3.6,0.000000,0.000000,  5,0.000000,0.000000,  85.909,  191,     0.1
     3.8,0.000000,0.000000,  5,0.000000,0.000000,  85.905,  193,     0.1
     4.0,0.000000,0.000000,  5,0.000000,0.000000,  85.909,  195,     0.1
     4.2,0.000000,0.000000,  5,0.000000,0.000000,  85.900,  193,     0.1
     4.4,0.000000,0.000000,  5,0.000000,0.000000,  85.892,  191,     0.1
     4.6,0.000184,0.000000,  5,0.000000,0.000000,  85.891,  194,     0.1
     4.8,0.000317,0.000000,  5,0.000000,0.000000,  85.881,  196,     0.1
     5.0,0.000425,0.000000,  5,0.000000,0.000000,  85.875,  195,     0.1
     5.2,0.000476,0.000000,  5,0.000000,0.000000,  85.864,  193,     0.1
     5.4,0.000489,0.000000,  5,0.000000,0.000000,  85.850,  194,     0.1
     5.6,0.000457,0.000000,  5,0.000000,0.000000,  85.841,  195,     0.1
     5.8,0.000465,0.000000,  5,0.000000,0.000000,  85.835,  195,     0.1
     6.0,0.000478,0.000446,  5,0.000513,0.000000,  85.828,  195,     0.1
     6.2,0.000502,0.000472,  5,0.000682,0.000000,  85.819,  194,     0.1
     6.4,0.000498,0.000492,  5,0.000777,0.000000,  85.811,  193,     0.1
     6.6,0.000498,0.000510,  5,0.000796,0.000000,  85.811,  192,     0.1
     6.8,0.000499,0.000528,  5,0.000740,0.000000,  85.751,  191,     0.1
     7.0,0.000485,0.000543,  5,0.000599,0.000014,  85.750,  194,     0.1
     7.2,0.000475,0.000553,  5,0.000383,0.000112,  85.744,  197,     0.1
     7.4,0.000473,0.000561,  5,0.000355,0.000136,  85.736,  196,     0.1
     7.6,0.000462,0.000565,  5,0.000383,0.000174,  85.718,  195,     0.1
     7.8,0.000459,0.000571,  5,0.000467,0.000138,  85.711,  194,     0.1
     8.0,0.000452,0.000565,  5,0.000448,0.000174,  85.714,  194,     0.1
     8.2,0.000449,0.000554,  5,0.000420,0.000186,  85.707,  194,     0.1
     8.4,0.000449,0.000543,  5,0.000363,0.000163,  85.702,  194,     0.1
     8.6,0.000446,0.000537,  5,0.000354,0.000198,  85.701,  192,     0.1
     8.8,0.000444,0.000535,  5,0.000335,0.000163,  85.695,  191,     0.1
     9.0,0.000451,0.000535,  5,0.000325,0.000163,  85.689,  192,     0.2
     9.2,0.000457,0.000529,  5,0.000316,0.000163,  85.687,  192,     0.2
     9.4,0.000453,0.000526,  5,0.000278,0.000127,  85.680,  193,     0.2
     9.6,0.000456,0.000518,  5,0.000222,0.000175,  85.677,  194,     0.2
     9.8,0.000464,0.000508,  5,0.000212,0.000175,  85.662,  194,     0.2
    10.0,0.000475,0.000516,  5,0.000221,0.000175,  85.662,  194,     0.2
    10.2,0.000478,0.000522,  5,0.000250,0.000104,  85.653,  193,     0.2
    10.4,0.000481,0.000524,  5,0.000287,0.000152,  85.641,  193,     0.2
    10.6,0.000493,0.000524,  5,0.000335,0.000140,  85.634,  193,     0.2
    10.8,0.000496,0.000530,  5,0.000382,0.000152,  85.624,  193,     0.2
    11.0,0.000491,0.000537,  5,0.000429,0.000152,  85.616,  192,     0.2
    11.2,0.000498,0.000540,  5,0.000410,0.000140,  85.611,  192,     0.2
    11.4,0.000501,0.000535,  5,0.000382,0.000104,  85.600,  195,     0.2
    11.6,0.000508,0.000541,  5,0.000326,0.000117,  85.604,  199,     0.2
    11.8,0.000517,0.000540,  5,0.000364,0.000140,  85.591,  197,     0.2
    12.0,0.000521,0.000545,  5,0.000458,0.000117,  85.581,  194,     0.2
    12.2,0.000524,0.000551,  5,0.000600,0.000117,  85.562,  192,     0.2
    12.4,0.000522,0.000556,  5,0.000676,0.000152,  85.555,  191,     0.2
    12.6,0.000532,0.000558,  5,0.000723,0.000129,  85.553,  192,     0.2
    12.8,0.000539,0.000576,  5,0.000761,0.000117,  85.545,  192,     0.2
    13.0,0.000541,0.000578,  5,0.000846,0.000152,  85.544,  193,     0.2
    13.2,0.000543,0.000583,  5,0.000931,0.000129,  85.535,  194,     0.2
    13.4,0.000560,0.000591,  5,0.001026,0.000129,  85.535,  193,     0.2
    13.6,0.000567,0.000596,  5,0.001092,0.000165,  85.535,  192,     0.2
    13.8,0.000565,0.000598,  5,0.001149,0.000141,  85.528,  194,     0.2
    14.0,0.000577,0.000604,  5,0.001197,0.000141,  85.526,  195,     0.2
    14.2,0.000580,0.000606,  5,0.001264,0.000177,  85.518,  195,     0.2
    14.4,0.000591,0.000620,  5,0.001330,0.000154,  85.499,  195,     0.2
    14.6,0.000602,0.000625,  5,0.001435,0.000141,  85.499,  196,     0.2
    14.8,0.000624,0.000630,  5,0.001558,0.000165,  85.486,  197,     0.2
    15.0,0.000628,0.000640,  5,0.001662,0.000141,  85.485,  196,     0.3
    15.2,0.000631,0.000651,  5,0.001795,0.000141,  85.471,  195,     0.3
    15.4,0.000626,0.000653,  5,0.001880,0.000177,  85.461,  193,     0.3
    15.6,0.000625,0.000662,  5,0.001938,0.000154,  85.459,  191,     0.3
    15.8,0.000628,0.000670,  5,0.001967,0.000154,  85.445,  193,     0.3
    16.0,0.000631,0.000667,  5,0.002043,0.000202,  85.444,  195,     0.3
    16.2,0.000638,0.000679,  5,0.002157,0.000166,  85.441,  196,     0.3
    16.4,0.000641,0.000680,  5,0.002270,0.000166,  85.431,  197,     0.3
    16.6,0.000648,0.000676,  5,0.002356,0.000202,  85.379,  195,     0.3
    16.8,0.000646,0.000684,  5,0.002460,0.000179,  85.370,  193,     0.3
    17.0,0.000653,0.000684,  5,0.002546,0.000179,  85.372,  192,     0.3
    17.2,0.000656,0.000685,  5,0.002603,0.000214,  85.364,  190,     0.3
    17.4,0.000655,0.000694,  5,0.002632,0.000191,  85.358,  192,     0.3
    17.6,0.000661,0.000699,  5,0.002632,0.000203,  85.359,  194,     0.3
    17.8,0.000672,0.000699,  5,0.002670,0.000227,  85.354,  193,     0.3
    18.0,0.000679,0.000713,  5,0.002708,0.000191,  85.342,  192,     0.3
    18.2,0.000686,0.000722,  5,0.002746,0.000203,  85.339,  195,     0.3
    18.4,0.000689,0.000722,  5,0.002766,0.000227,  85.330,  198,     0.3
    18.6,0.000695,0.000734,  5,0.002785,0.000227,  85.334,  196,     0.3
    18.8,0.000699,0.000744,  5,0.002775,0.000239,  85.320,  193,     0.3
    19.0,0.000705,0.000752,  5,0.002776,0.000227,  85.314,  192,     0.3
    19.2,0.000715,0.000754,  5,0.002823,0.000227,  85.314,  192,     0.3
    19.4,0.000718,0.000758,  5,0.002890,0.000227,  85.304,  193,     0.3
    19.6,0.000721,0.000760,  5,0.002975,0.000227,  85.311,  193,     0.3
    19.8,0.000725,0.000762,  5,0.003032,0.000227,  85.308,  193,     0.3
    20.0,0.000728,0.000764,  5,0.003080,0.000191,  85.299,  194,     0.3
    20.2,0.000725,0.000763,  5,0.003128,0.000239,  85.302,  193,     0.3
    20.4,0.000736,0.000769,  5,0.003090,0.000262,  85.294,  193,     0.3
    20.6,0.000739,0.000775,  5,0.003005,0.000227,  85.298,  194,     0.3
    20.8,0.000750,0.000777,  5,0.002892,0.000274,  85.290,  196,     0.3
    21.0,0.000753,0.000786,  5,0.002787,0.000274,  85.288,  195,     0.3
    21.2,0.000757,0.000789,  5,0.002703,0.000251,  85.281,  193,     0.4
    21.4,0.000755,0.000795,  5,0.002589,0.000287,  85.273,  194,     0.4
    21.6,0.000759,0.000794,  5,0.002627,0.000299,  85.277,  194,     0.4
    21.8,0.000762,0.000797,  5,0.002731,0.000276,  85.277,  194,     0.4
    22.0,0.000762,0.000799,  5,0.002921,0.000299,  85.278,  194,     0.4
    22.2,0.000765,0.000798,  5,0.003025,0.000299,  85.273,  193,     0.4
    22.4,0.000768,0.000801,  5,0.003129,0.000276,  85.273,  191,     0.4
    22.6,0.000765,0.000807,  5,0.003224,0.000299,  85.280,  194,     0.4
    22.8,0.000765,0.000806,  5,0.003157,0.000299,  85.278,  196,     0.4
    23.0,0.000768,0.000809,  5,0.003016,0.000276,  85.279,  195,     0.4
    23.2,0.000765,0.000820,  5,0.002779,0.000312,  85.274,  195,     0.4
    23.4,0.000765,0.000819,  5,0.002798,0.000312,  85.262,  195,     0.4
    23.6,0.000770,0.000822,  5,0.002902,0.000289,  85.269,  195,     0.4
    23.8,0.000774,0.000825,  5,0.003091,0.000324,  85.270,  194,     0.4
    24.0,0.000779,0.000824,  5,0.003176,0.000312,  85.271,  193,     0.4
    24.2,0.000768,0.000824,  5,0.003214,0.000289,  85.265,  193,     0.4
    24.4,0.000768,0.000827,  5,0.003262,0.000337,  85.263,  192,     0.4
    24.6,0.000779,0.000818,  5,0.003281,0.000337,  85.275,  192,     0.4
    24.8,0.000771,0.000821,  5,0.003281,0.000313,  85.272,  192,     0.4
    25.0,0.000771,0.000823,  5,0.003243,0.000337,  85.276,  196,     0.4
    25.2,0.000779,0.000820,  5,0.003233,0.000312,  85.270,  199,     0.4
    25.4,0.000771,0.000820,  5,0.003243,0.000289,  85.271,  197,     0.4
    25.6,0.000771,0.000832,  5,0.003233,0.000324,  85.266,  195,     0.4
    25.8,0.000776,0.000829,  5,0.003233,0.000312,  85.264,  194,     0.4
    26.0,0.000771,0.000825,  5,0.003233,0.000289,  85.263,  193,     0.4
    26.2,0.000768,0.000831,  5,0.003232,0.000324,  85.272,  192,     0.4
    26.4,0.000772,0.000827,  5,0.003242,0.000312,  85.270,  191,     0.4
    26.6,0.000768,0.000822,  5,0.003251,0.000289,  85.283,  192,     0.4
    26.8,0.000765,0.000819,  5,0.003280,0.000324,  85.291,  193,     0.4
    27.0,0.000769,0.000813,  5,0.003270,0.000324,  85.289,  193,     0.4
    27.2,0.000765,0.000819,  5,0.003232,0.000301,  85.290,  192,     0.5
    27.4,0.000768,0.000817,  5,0.003185,0.000301,  85.291,  193,     0.5
    27.6,0.000776,0.000813,  5,0.003175,0.000313,  85.300,  195,     0.5
    27.8,0.000774,0.000819,  5,0.003156,0.000313,  85.293,  194,     0.5
    28.0,0.000778,0.000819,  5,0.003184,0.000290,  85.294,  193,     0.5
    28.2,0.000778,0.000813,  5,0.003184,0.000326,  85.296,  193,     0.5
    28.4,0.000773,0.000825,  5,0.003184,0.000313,  85.306,  194,     0.5
    28.6,0.000784,0.000829,  5,0.003165,0.000326,  85.314,  194,     0.5
    28.8,0.000778,0.000825,  5,0.003165,0.000326,  85.319,  194,     0.5
    29.0,0.000773,0.000837,  5,0.003136,0.000313,  85.323,  193,     0.5
    29.2,0.000780,0.000842,  5,0.003098,0.000290,  85.330,  192,     0.5
    29.4,0.000775,0.000845,  5,0.003051,0.000290,  85.336,  196,     0.5
    29.6,0.000778,0.000839,  5,0.002994,0.000326,  85.352,  199,     0.5
    29.8,0.000781,0.000841,  5,0.002918,0.000303,  85.358,  198,     0.5
    30.0,0.000785,0.000841,  5,0.002843,0.000303,  85.368,  196,     0.5
    30.2,0.000788,0.000847,  5,0.002805,0.000326,  85.363,  196,     0.5
    30.4,0.000791,0.000847,  5,0.002786,0.000278,  85.371,  195,     0.5
    30.6,0.000795,0.000849,  5,0.002776,0.000278,  85.388,  193,     0.5
    30.8,0.000801,0.000846,  5,0.002785,0.000313,  85.391,  190,     0.5
    31.0,0.000801,0.000846,  5,0.002823,0.000278,  85.401,  192,     0.5
    31.2,0.000801,0.000852,  5,0.002880,0.000278,  85.403,  194,     0.5
    31.4,0.000801,0.000854,  5,0.002880,0.000326,  85.411,  193,     0.5
    31.6,0.000804,0.000856,  5,0.002851,0.000303,  85.419,  191,     0.5
    31.8,0.000806,0.000858,  5,0.002794,0.000303,  85.426,  194,     0.5
    32.0,0.000802,0.000863,  5,0.002794,0.000326,  85.434,  197,     0.5
    32.2,0.000802,0.000863,  5,0.002813,0.000290,  85.436,  196,     0.5
    32.4,0.000802,0.000860,  5,0.002842,0.000290,  85.440,  195,     0.5
    32.6,0.000810,0.000863,  5,0.002756,0.000326,  85.447,  195,     0.5
    32.8,0.000802,0.000864,  5,0.002633,0.000278,  85.451,  194,     0.5
    33.0,0.000807,0.000867,  5,0.002482,0.000278,  85.456,  193,     0.6
    33.2,0.000804,0.000858,  5,0.002482,0.000313,  85.460,  192,     0.6
    33.4,0.000793,0.000865,  5,0.002539,0.000278,  85.461,  192,     0.6
    33.6,0.000800,0.000863,  5,0.002633,0.000278,  85.479,  192,     0.6
    33.8,0.000800,0.000860,  5,0.002652,0.000326,  85.482,  192,     0.6
    34.0,0.000789,0.000860,  5,0.002643,0.000303,  85.491,  192,     0.6
    34.2,0.000797,0.000863,  5,0.002624,0.000303,  85.488,  195,     0.6
    34.4,0.000800,0.000863,  5,0.002633,0.000326,  85.486,  198,     0.6
    34.6,0.000796,0.000860,  5,0.002652,0.000290,  85.485,  195,     0.6
    34.8,0.000807,0.000864,  5,0.002671,0.000290,  85.487,  193,     0.6
    35.0,0.000810,0.000864,  5,0.002709,0.000326,  85.486,  193,     0.6
    35.2,0.000806,0.000861,  5,0.002756,0.000278,  85.492,  192,     0.6
    35.4,0.000806,0.000869,  5,0.002803,0.000278,  85.490,  193,     0.6
    35.6,0.000802,0.000875,  5,0.002841,0.000313,  85.499,  195,     0.6
    35.8,0.000795,0.000871,  5,0.002879,0.000265,  85.504,  193,     0.6
    36.0,0.000806,0.000877,  5,0.002898,0.000265,  85.506,  191,     0.6
    36.2,0.000813,0.000877,  5,0.002898,0.000313,  85.507,  194,     0.6
    36.4,0.000809,0.000882,  5,0.002889,0.000313,  85.511,  198,     0.6
    36.6,0.000817,0.000882,  5,0.002841,0.000313,  85.527,  195,     0.6
    36.8,0.000825,0.000882,  5,0.002794,0.000326,  85.527,  192,     0.6
    37.0,0.000820,0.000882,  5,0.002765,0.000326,  85.531,  193,     0.6
    37.2,0.000820,0.000883,  5,0.002718,0.000338,  85.532,  194,     0.6
    37.4,0.000828,0.000883,  5,0.002671,0.000326,  85.537,  194,     0.6
    37.6,0.000827,0.000879,  5,0.002680,0.000326,  85.550,  193,     0.6
    37.8,0.000833,0.000883,  5,0.002708,0.000290,  85.550,  193,     0.6
    38.0,0.000844,0.000885,  5,0.002755,0.000290,  85.560,  193,     0.6
    38.2,0.000840,0.000888,  5,0.002755,0.000326,  85.570,  192,     0.6
    38.4,0.000846,0.000897,  5,0.002736,0.000290,  85.569,  191,     0.6
    38.6,0.000851,0.000899,  5,0.002718,0.000290,  85.579,  195,     0.6
    38.8,0.000846,0.000896,  5,0.002689,0.000326,  85.587,  198,     0.6
    39.0,0.000849,0.000905,  5,0.002651,0.000290,  85.589,  198,     0.6
    39.2,0.000860,0.000905,  5,0.002623,0.000290,  85.594,  197,     0.7
    39.4,0.000856,0.000901,  5,0.002623,0.000326,  85.594,  197,     0.7
    39.6,0.000856,0.000904,  5,0.002652,0.000278,  85.606,  197,     0.7
    39.8,0.000864,0.000913,  5,0.002680,0.000301,  85.607,  195,     0.7
    40.0,0.000862,0.000915,  5,0.002680,0.000324,  85.612,  194,     0.7
    40.2,0.000862,0.000915,  5,0.002661,0.000301,  85.620,  193,     0.7
    40.4,0.000870,0.000917,  5,0.002633,0.000337,  85.673,  192,     0.7
    40.6,0.000870,0.000920,  5,0.002633,0.000361,  85.683,  192,     0.7
    40.8,0.000866,0.000920,  5,0.002661,0.000338,  85.686,  192,     0.7
    41.0,0.000877,0.000926,  5,0.002699,0.000374,  85.693,  194,     0.7
    41.2,0.000877,0.000929,  5,0.002643,0.000361,  85.695,  195,     0.7
    41.4,0.000880,0.000931,  5,0.002548,0.000326,  85.693,  194,     0.7
    41.6,0.000880,0.000931,  5,0.002397,0.000361,  85.698,  194,     0.7
    41.8,0.000883,0.000937,  5,0.002368,0.000361,  85.701,  193,     0.7
    42.0,0.000879,0.000936,  5,0.002388,0.000326,  85.701,  193,     0.7
    42.2,0.000879,0.000936,  5,0.002425,0.000374,  85.698,  193,     0.7
    42.4,0.000887,0.000935,  5,0.002454,0.000374,  85.702,  194,     0.7
    42.6,0.000882,0.000938,  5,0.002482,0.000338,  85.703,  193,     0.7
    42.8,0.000885,0.000940,  5,0.002510,0.000351,  85.701,  191,     0.7
    43.0,0.000896,0.000940,  5,0.002538,0.000351,  85.699,  194,     0.7
    43.2,0.000892,0.000938,  5,0.002586,0.000315,  85.707,  198,     0.7
    43.4,0.000895,0.000938,  5,0.002633,0.000303,  85.706,  196,     0.7
    43.6,0.000903,0.000938,  5,0.002661,0.000326,  85.710,  194,     0.7
    43.8,0.000898,0.000938,  5,0.002680,0.000290,  85.702,  193,     0.7
    44.0,0.000905,0.000950,  5,0.002690,0.000290,  85.709,  191,     0.7
    44.2,0.000909,0.000955,  5,0.002661,0.000326,  85.705,  192,     0.7
    44.4,0.000908,0.000958,  5,0.002605,0.000278,  85.710,  192,     0.7
    44.6,0.000918,0.000963,  5,0.002510,0.000313,  85.720,  191,     0.7
    44.8,0.000924,0.000971,  5,0.002520,0.000349,  85.718,  191,     0.7
    45.0,0.000923,0.000976,  5,0.002539,0.000337,  85.719,  191,     0.8
    45.2,0.000941,0.000979,  5,0.002596,0.000337,  85.721,  191,     0.8
    45.4,0.000947,0.000987,  5,0.002633,0.000384,  85.718,  193,     0.8
    45.6,0.000943,0.000989,  5,0.002690,0.000384,  85.720,  195,     0.8
    45.8,0.000965,0.000994,  5,0.002766,0.000349,  85.720,  194,     0.8
    46.0,0.000976,0.000996,  5,0.002784,0.000361,  85.715,  194,     0.8
    46.2,0.000978,0.001007,  5,0.002794,0.000361,  85.718,  194,     0.8
    46.4,0.000984,0.001015,  5,0.002766,0.000338,  85.719,  194,     0.8
    46.6,0.000988,0.001014,  5,0.002737,0.000374,  85.723,  193,     0.8
    46.8,0.000986,0.001028,  5,0.002709,0.000374,  85.722,  192,     0.8
    47.0,0.000990,0.001034,  5,0.002700,0.000338,  85.723,  191,     0.8
    47.2,0.000993,0.001033,  5,0.002681,0.000399,  85.723,  190,     0.8
    47.4,0.000988,0.001047,  5,0.002624,0.000399,  85.718,  191,     0.8
    47.6,0.000999,0.001055,  5,0.002558,0.000399,  85.722,  192,     0.8
    47.8,0.001006,0.001060,  5,0.002455,0.000399,  85.727,  194,     0.8
    48.0,0.000998,0.001062,  5,0.002483,0.000422,  85.726,  196,     0.8
    48.2,0.001006,0.001065,  5,0.002559,0.000422,  85.722,  194,     0.8
    48.4,0.001003,0.001070,  5,0.002672,0.000386,  85.720,  191,     0.8
    48.6,0.001001,0.001076,  5,0.002710,0.000422,  85.730,  189,     0.8
    48.8,0.001009,0.001082,  5,0.002710,0.000434,  85.730,  187,     0.8
    49.0,0.001009,0.001088,  5,0.002719,0.000399,  85.727,  189,     0.8
    49.2,0.001001,0.001088,  5,0.002757,0.000447,  85.732,  191,     0.8
    49.4,0.001009,0.001088,  5,0.002785,0.000459,  85.732,  189,     0.8
    49.6,0.001003,0.001091,  5,0.002842,0.000423,  85.736,  188,     0.8
    49.8,0.000999,0.001096,  5,0.002833,0.000459,  85.735,  190,     0.8
    50.0,0.000996,0.001093,  5,0.002795,0.000471,  85.738,  193,     0.8
    50.2,0.000993,0.001093,  5,0.002729,0.000436,  85.740,  190,     0.8
    50.4,0.000990,0.001093,  5,0.002719,0.000471,  85.733,  186,     0.8
    50.6,0.000986,0.001088,  5,0.002709,0.000484,  85.738,  186,     0.8
    50.8,0.000996,0.001089,  5,0.002729,0.000448,  85.737,  186,     0.8
    51.0,0.000997,0.001084,  5,0.002757,0.000484,  85.739,  186,     0.9
    51.2,0.000989,0.001078,  5,0.002785,0.000496,  85.737,  187,     0.9
    51.4,0.000989,0.001082,  5,0.002842,0.000448,  85.736,  186,     0.9
    51.6,0.000989,0.001085,  5,0.002842,0.000471,  85.745,  185,     0.9
    51.8,0.000984,0.001082,  5,0.002794,0.000471,  85.743,  184,     0.9
    52.0,0.000992,0.001080,  5,0.002747,0.000423,  85.745,  182,     0.9
    52.2,0.000989,0.001085,  5,0.002756,0.000434,  85.744,  185,     0.9
    52.4,0.000984,0.001082,  5,0.002775,0.000422,  85.742,  187,     0.9
    52.6,0.000989,0.001072,  5,0.002813,0.000397,  85.742,  186,     0.9
    52.8,0.000986,0.001066,  5,0.002822,0.000395,  85.732,  184,     0.9
    53.0,0.000978,0.001061,  5,0.002803,0.000395,  85.733,  184,     0.9
    53.2,0.000976,0.001059,  5,0.002794,0.000395,  85.736,  185,     0.9
    53.4,0.000966,0.001056,  5,0.002784,0.000420,  85.738,  183,     0.9
    53.6,0.000955,0.001054,  5,0.002755,0.000432,  85.747,  182,     0.9
    53.8,0.000960,0.001057,  5,0.002736,0.000409,  85.741,  182,     0.9
    54.0,0.000953,0.001054,  5,0.002736,0.000409,  85.744,  182,     0.9
    54.2,0.000942,0.001046,  5,0.002736,0.000422,  85.740,  186,     0.9
    54.4,0.000943,0.001040,  5,0.002765,0.000399,  85.740,  189,     0.9
    54.6,0.000937,0.001038,  5,0.002755,0.000409,  85.737,  190,     0.9
    54.8,0.000926,0.001032,  5,0.002756,0.000397,  85.738,  190,     0.9
    55.0,0.000927,0.001036,  5,0.002718,0.000361,  85.734,  190,     0.9
    55.2,0.000921,0.001033,  5,0.002699,0.000420,  85.731,  190,     0.9
    55.4,0.000909,0.001025,  5,0.002680,0.000395,  85.734,  191,     0.9
    55.6,0.000911,0.001023,  5,0.002633,0.000395,  85.730,  193,     0.9
    55.8,0.000907,0.001018,  5,0.002604,0.000372,  85.732,  191,     0.9
    56.0,0.000896,0.001010,  5,0.002614,0.000384,  85.732,  189,     0.9
    56.2,0.000904,0.001002,  5,0.002642,0.000384,  85.728,  189,     0.9
    56.4,0.000904,0.000999,  5,0.002690,0.000349,  85.728,  188,     0.9
    56.6,0.000893,0.000999,  5,0.002709,0.000384,  85.725,  192,     0.9
    56.8,0.000901,0.000993,  5,0.002709,0.000384,  85.724,  196,     0.9
    57.0,0.000901,0.001002,  5,0.002699,0.000337,  85.723,  194,     0.9
    57.2,0.000896,0.001002,  5,0.002718,0.000360,  85.722,  192,     1.0
    57.4,0.000901,0.001002,  5,0.002746,0.000372,  85.723,  190,     1.0
    57.6,0.000898,0.000999,  5,0.002774,0.000337,  85.724,  188,     1.0
    57.8,0.000896,0.001002,  5,0.002765,0.000372,  85.724,  188,     1.0
    58.0,0.000904,0.000993,  5,0.002755,0.000384,  85.726,  188,     1.0
    58.2,0.000907,0.000993,  5,0.002746,0.000349,  85.725,  188,     1.0
    58.4,0.000907,0.000993,  5,0.002746,0.000372,  85.727,  189,     1.0
    58.6,0.000911,0.000982,  5,0.002746,0.000384,  85.724,  188,     1.0
    58.8,0.000911,0.000982,  5,0.002765,0.000349,  85.726,  187,     1.0
    59.0,0.000914,0.000982,  5,0.002793,0.000384,  85.722,  189,     1.0
    59.2,0.000906,0.000976,  5,0.002812,0.000384,  85.720,  191,     1.0
    59.4,0.000911,0.000982,  5,0.002841,0.000349,  85.724,  190,     1.0
    59.6,0.000915,0.000982,  5,0.002822,0.000384,  85.723,  189,     1.0
    59.8,0.000912,0.000979,  5,0.002784,0.000372,  85.721,  190,     1.0
    60.0,0.000904,0.000988,  5,0.002727,0.000360,  85.728,  190,     1.0
    60.2,0.000909,0.000994,  5,0.002708,0.000394,  85.723,  190,     1.0
    60.4,0.000909,0.000991,  5,0.002690,0.000406,  85.723,  190,     1.0
    60.6,0.000901,0.000995,  5,0.002680,0.000383,  85.729,  189,     1.0
    60.8,0.000912,0.001001,  5,0.002680,0.000383,  85.730,  188,     1.0
    61.0,0.000915,0.001001,  5,0.002681,0.000395,  85.728,  192,     1.0
    61.2,0.000911,0.000995,  5,0.002681,0.000372,  85.732,  196,     1.0
    61.4,0.000922,0.000995,  5,0.002728,0.000384,  85.731,  195,     1.0
    61.6,0.000928,0.000995,  5,0.002803,0.000384,  85.739,  194,     1.0
    61.8,0.000921,0.000995,  5,0.002917,0.000349,  85.735,  192,     1.0
    62.0,0.000928,0.000995,  5,0.002889,0.000372,  85.735,  190,     1.0
    62.2,0.000924,0.000997,  5,0.002804,0.000384,  85.741,  188,     1.0
    62.4,0.000927,0.000997,  5,0.002681,0.000349,  85.739,  186,     1.0
    62.6,0.000930,0.000997,  5,0.002691,0.000372,  85.740,  188,     1.0
    62.8,0.000929,0.001006,  5,0.002738,0.000372,  85.741,  190,     1.0
    63.0,0.000943,0.001009,  5,0.002852,0.000349,  85.737,  189,     1.0
    63.2,0.000947,0.001006,  5,0.002862,0.000384,  85.736,  188,     1.1
    63.4,0.000945,0.001011,  5,0.002843,0.000384,  85.730,  190,     1.1
    63.6,0.000960,0.001017,  5,0.002777,0.000397,  85.735,  193,     1.1
    63.8,0.000963,0.001016,  5,0.002701,0.000397,  85.738,  192,     1.1
    64.0,0.000958,0.001019,  5,0.002758,0.000384,  85.736,  190,     1.1
    64.2,0.000969,0.001021,  5,0.002863,0.000384,  85.728,  188,     1.1
    64.4,0.000973,0.001027,  5,0.002995,0.000349,  85.729,  187,     1.1
    64.6,0.000971,0.001032,  5,0.003071,0.000384,  85.723,  188,     1.1
    64.8,0.000986,0.001034,  5,0.003157,0.000397,  85.718,  189,     1.1
    65.0,0.000989,0.001036,  5,0.003233,0.000361,  85.720,  189,     1.1
    65.2,0.000988,0.001039,  5,0.003299,0.000397,  85.717,  189,     1.1
    65.4,0.001002,0.001047,  5,0.003347,0.000409,  85.715,  188,     1.1
    65.6,0.001005,0.001052,  5,0.003385,0.000386,  85.713,  187,     1.1
    65.8,0.001004,0.001058,  5,0.003433,0.000409,  85.711,  190,     1.1
    66.0,0.001018,0.001054,  5,0.003461,0.000374,  85.713,  193,     1.1
    66.2,0.001022,0.001063,  5,0.003509,0.000386,  85.711,  191,     1.1
