Run Name,Run 1
Run Date,02:04:53 PM   02-26-13
Method Name,LinearGradient Group9
Export Format Version, 1.00
Method ID, 1581
Points/Second, 5.00
Number of Records,  26250
Offset from Run Start Time,00:00:00
Run End Time,01:27:30
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.012657,-0.356010,0.047166,-0.420189,   5.596
     0.2,0.012679,-0.356011,0.047255,-0.420189,   5.597
     0.4,0.012673,-0.356013,0.047319,-0.420211,   5.596
     0.6,0.012678,-0.356014,0.047364,-0.420189,   5.594
     0.8,0.000000,-0.356023,0.047403,-0.420189,   5.593
     1.0,0.000000,-0.356023,0.047429,-0.420211,   5.593
     1.2,0.000000,0.000000,0.047708,-0.420189,   5.593
     1.4,0.000000,0.000000,0.047708,-0.420189,   5.593
     1.6,0.000000,0.000000,0.047708,-0.420211,   5.588
     1.8,0.000000,0.000000,0.047708,-0.420189,   5.589
     2.0,0.000000,0.000000,0.000000,-0.420189,   5.590
     2.2,0.000000,0.000000,0.000000,-0.420224,   5.588
     2.4,0.000000,0.000000,0.000000,0.000000,   5.588
     2.6,0.000000,0.000000,0.000000,0.000000,   5.588
     2.8,0.000000,0.000000,0.000000,0.000000,   5.592
     3.0,0.000000,0.000000,0.000000,0.000000,   5.588
     3.2,0.000000,0.000000,0.000000,0.000000,   5.585
     3.4,0.000000,0.000000,0.000000,0.000000,   5.588
     3.6,0.000000,0.000000,0.000000,0.000000,   5.585
     3.8,0.000000,0.000000,0.000000,0.000000,   5.590
     4.0,0.000000,0.000000,0.000000,0.000000,   5.585
     4.2,0.000000,0.000000,0.000000,0.000000,   5.583
     4.4,0.000000,0.000000,0.000000,0.000000,   5.584
     4.6,0.000000,0.000000,0.000000,0.000000,   5.583
     4.8,0.000031,0.000000,0.000000,0.000000,   5.582
     5.0,0.000025,0.000000,0.000000,0.000000,   5.584
     5.2,0.000025,0.000000,0.000000,0.000000,   5.584
     5.4,0.000025,0.000000,0.000000,0.000000,   5.579
     5.6,0.000025,0.000000,0.000000,0.000000,   5.582
     5.8,0.000021,0.000012,0.000000,0.000000,   5.580
     6.0,0.000027,0.000018,0.000030,0.000000,   5.579
     6.2,0.000027,0.000023,-0.000016,0.000000,   5.582
     6.4,0.000030,0.000026,-0.000138,0.000000,   5.579
     6.6,0.000036,0.000023,-0.000318,0.000000,   5.578
     6.8,0.000036,0.000027,-0.000556,0.000000,   5.578
     7.0,0.000039,0.000025,-0.000869,0.000000,   5.578
     7.2,0.000039,0.000026,-0.000908,0.000000,   5.576
     7.4,0.000039,0.000026,-0.000863,0.000000,   5.574
     7.6,0.000042,0.000027,-0.000710,-0.000022,   5.575
     7.8,0.000039,0.000027,-0.000730,0.000026,   5.575
     8.0,0.000042,0.000029,-0.000807,0.000013,   5.572
     8.2,0.000042,0.000033,-0.000928,0.000026,   5.575
     8.4,0.000042,0.000030,-0.000960,-0.000008,   5.572
     8.6,0.000044,0.000032,-0.000960,0.000026,   5.572
     8.8,0.000042,0.000029,-0.000941,0.000040,   5.573
     9.0,0.000042,0.000029,-0.000884,-0.000008,   5.574
     9.2,0.000044,0.000030,-0.000801,0.000026,   5.573
     9.4,0.000042,0.000032,-0.000687,0.000040,   5.570
     9.6,0.000042,0.000034,-0.000681,0.000005,   5.569
     9.8,0.000042,0.000034,-0.000726,0.000040,   5.569
    10.0,0.000042,0.000032,-0.000814,0.000053,   5.567
    10.2,0.000044,0.000033,-0.000821,0.000018,   5.567
    10.4,0.000044,0.000035,-0.000833,0.000040,   5.570
    10.6,0.000053,0.000033,-0.000821,0.000053,   5.568
    10.8,0.000057,0.000031,-0.000782,0.000018,   5.565
    11.0,0.000054,0.000027,-0.000731,0.000018,   5.566
    11.2,0.000057,0.000033,-0.000649,0.000018,   5.563
    11.4,0.000054,0.000036,-0.000590,0.000018,   5.563
    11.6,0.000054,0.000033,-0.000532,0.000018,   5.562
    11.8,0.000057,0.000033,-0.000463,0.000018,   5.562
    12.0,0.000048,0.000033,-0.000456,0.000018,   5.560
    12.2,0.000048,0.000031,-0.000475,0.000018,   5.560
    12.4,0.000048,0.000030,-0.000515,0.000018,   5.559
    12.6,0.000048,0.000035,-0.000489,0.000018,   5.559
    12.8,0.000052,0.000033,-0.000432,0.000018,   5.558
    13.0,0.000052,0.000029,-0.000361,0.000018,   5.553
    13.2,0.000052,0.000031,-0.000353,0.000018,   5.561
    13.4,0.000049,0.000031,-0.000360,0.000018,   5.558
    13.6,0.000049,0.000027,-0.000392,0.000018,   5.556
    13.8,0.000049,0.000029,-0.000411,0.000018,   5.553
    14.0,0.000049,0.000027,-0.000430,0.000018,   5.558
    14.2,0.000049,0.000021,-0.000444,0.000018,   5.556
    14.4,0.000049,0.000023,-0.000437,0.000031,   5.557
    14.6,0.000046,0.000020,-0.000430,0.000018,   5.556
    14.8,0.000044,0.000022,-0.000392,0.000018,   5.553
    15.0,0.000044,0.000027,-0.000353,0.000031,   5.558
    15.2,0.000041,0.000029,-0.000353,0.000031,   5.551
    15.4,0.000044,0.000024,-0.000372,0.000018,   5.549
    15.6,0.000044,0.000023,-0.000391,0.000018,   5.552
    15.8,0.000044,0.000023,-0.000461,0.000018,   5.553
    16.0,0.000053,0.000023,-0.000551,0.000053,   5.554
    16.2,0.000053,0.000028,-0.000673,0.000053,   5.550
    16.4,0.000047,0.000028,-0.000685,0.000018,   5.549
    16.6,0.000050,0.000032,-0.000648,0.000053,   5.549
    16.8,0.000050,0.000035,-0.000590,0.000053,   5.543
    17.0,0.000050,0.000035,-0.000659,0.000018,   5.545
    17.2,0.000052,0.000035,-0.000762,0.000053,   5.546
    17.4,0.000058,0.000035,-0.000915,0.000053,   5.543
    17.6,0.000058,0.000035,-0.000877,0.000018,   5.545
    17.8,0.000058,0.000030,-0.000768,0.000053,   5.542
    18.0,0.000060,0.000032,-0.000582,0.000066,   5.547
    18.2,0.000058,0.000034,-0.000530,0.000031,   5.543
    18.4,0.000060,0.000037,-0.000506,0.000066,   5.545
    18.6,0.000060,0.000033,-0.000513,0.000080,   5.543
    18.8,0.000060,0.000034,-0.000545,0.000045,   5.541
    19.0,0.000060,0.000031,-0.000614,0.000066,   5.540
    19.2,0.000060,0.000031,-0.000704,0.000066,   5.539
    19.4,0.000060,0.000034,-0.000716,0.000031,   5.539
    19.6,0.000067,0.000034,-0.000697,0.000066,   5.537
    19.8,0.000060,0.000029,-0.000651,0.000066,   5.540
    20.0,0.000067,0.000035,-0.000823,0.000031,   5.537
    20.2,0.000064,0.000038,-0.001073,0.000066,   5.539
    20.4,0.000058,0.000036,-0.001418,0.000066,   5.534
    20.6,0.000060,0.000035,-0.001476,0.000031,   5.538
    20.8,0.000064,0.000040,-0.001438,0.000066,   5.535
    21.0,0.000060,0.000042,-0.001292,0.000066,   5.533
    21.2,0.000069,0.000039,-0.001215,0.000031,   5.533
    21.4,0.000076,0.000037,-0.001125,0.000066,   5.533
    21.6,0.000072,0.000037,-0.001016,0.000066,   5.532
    21.8,0.000078,0.000037,-0.000933,0.000031,   5.530
    22.0,0.000078,0.000037,-0.000856,0.000066,   5.533
    22.2,0.000075,0.000035,-0.000786,0.000066,   5.536
    22.4,0.000078,0.000040,-0.000862,0.000031,   5.530
    22.6,0.000078,0.000042,-0.001022,0.000066,   5.528
    22.8,0.000075,0.000044,-0.001252,0.000066,   5.530
    23.0,0.000078,0.000047,-0.001226,0.000031,   5.528
    23.2,0.000078,0.000046,-0.001118,0.000066,   5.530
    23.4,0.000077,0.000050,-0.000914,0.000066,   5.526
    23.6,0.000084,0.000054,-0.000838,0.000080,   5.524
    23.8,0.000086,0.000054,-0.000774,0.000031,   5.520
    24.0,0.000083,0.000060,-0.000735,0.000066,   5.527
    24.2,0.000091,0.000059,-0.000704,0.000045,   5.523
    24.4,0.000089,0.000059,-0.000672,0.000045,   5.524
    24.6,0.000083,0.000064,-0.000640,0.000080,   5.525
    24.8,0.000089,0.000066,-0.000615,0.000080,   5.519
    25.0,0.000086,0.000065,-0.000595,0.000058,   5.523
    25.2,0.000077,0.000067,-0.000571,0.000080,   5.521
    25.4,0.000084,0.000067,-0.000553,0.000080,   5.522
    25.6,0.000084,0.000067,-0.000534,0.000058,   5.521
    25.8,0.000077,0.000061,-0.000515,0.000080,   5.519
    26.0,0.000084,0.000064,-0.000502,0.000080,   5.523
    26.2,0.000086,0.000064,-0.000546,0.000058,   5.516
    26.4,0.000083,0.000062,-0.000610,0.000080,   5.517
    26.6,0.000091,0.000064,-0.000706,0.000080,   5.517
    26.8,0.000089,0.000064,-0.000756,0.000058,   5.517
    27.0,0.000083,0.000063,-0.000801,0.000080,   5.519
    27.2,0.000091,0.000064,-0.000833,0.000080,   5.517
    27.4,0.000089,0.000066,-0.000960,0.000058,   5.518
    27.6,0.000083,0.000064,-0.001107,0.000080,   5.516
    27.8,0.000089,0.000061,-0.001298,0.000080,   5.513
    28.0,0.000086,0.000062,-0.001247,0.000058,   5.515
    28.2,0.000080,0.000061,-0.001100,0.000080,   5.515
    28.4,0.000086,0.000054,-0.000851,0.000080,   5.510
    28.6,0.000086,0.000056,-0.000750,0.000058,   5.513
    28.8,0.000086,0.000055,-0.000679,0.000080,   5.510
    29.0,0.000086,0.000057,-0.000635,0.000080,   5.511
    29.2,0.000083,0.000062,-0.000653,0.000058,   5.510
    29.4,0.000089,0.000061,-0.000716,0.000080,   5.511
    29.6,0.000089,0.000061,-0.000806,0.000080,   5.508
    29.8,0.000085,0.000065,-0.000793,0.000058,   5.509
    30.0,0.000094,0.000059,-0.000748,0.000080,   5.508
    30.2,0.000088,0.000060,-0.000659,0.000080,   5.509
    30.4,0.000094,0.000059,-0.000724,0.000058,   5.502
    30.6,0.000091,0.000059,-0.000857,0.000093,   5.505
    30.8,0.000085,0.000058,-0.001036,0.000093,   5.505
    31.0,0.000091,0.000066,-0.000978,0.000058,   5.508
    31.2,0.000095,0.000066,-0.000837,0.000080,   5.509
    31.4,0.000089,0.000063,-0.000612,0.000080,   5.507
    31.6,0.000089,0.000065,-0.000541,0.000058,   5.504
    31.8,0.000092,0.000062,-0.000497,0.000080,   5.507
    32.0,0.000086,0.000060,-0.000504,0.000080,   5.503
    32.2,0.000086,0.000062,-0.000445,0.000058,   5.504
    32.4,0.000092,0.000059,-0.000362,0.000080,   5.501
    32.6,0.000086,0.000062,-0.000266,0.000080,   5.504
    32.8,0.000089,0.000062,-0.000240,0.000058,   5.503
    33.0,0.000098,0.000060,-0.000246,0.000080,   5.501
    33.2,0.000091,0.000064,-0.000278,0.000080,   5.501
    33.4,0.000094,0.000064,-0.000304,0.000093,   5.498
    33.6,0.000100,0.000064,-0.000330,0.000058,   5.496
    33.8,0.000094,0.000065,-0.000375,0.000093,   5.500
    34.0,0.000094,0.000070,-0.000415,0.000058,   5.499
    34.2,0.000098,0.000065,-0.000408,0.000058,   5.501
    34.4,0.000091,0.000065,-0.000376,0.000093,   5.496
    34.6,0.000098,0.000065,-0.000330,0.000093,   5.497
    34.8,0.000101,0.000063,-0.000393,0.000058,   5.496
    35.0,0.000095,0.000063,-0.000490,0.000093,   5.497
    35.2,0.000104,0.000065,-0.000644,0.000093,   5.497
    35.4,0.000104,0.000062,-0.000662,0.000058,   5.497
    35.6,0.000098,0.000062,-0.000636,0.000080,   5.495
    35.8,0.000107,0.000067,-0.000572,0.000080,   5.493
    36.0,0.000107,0.000067,-0.000610,0.000058,   5.499
    36.2,0.000100,0.000066,-0.000680,0.000080,   5.495
    36.4,0.000107,0.000068,-0.000764,0.000080,   5.494
    36.6,0.000104,0.000070,-0.000815,0.000058,   5.496
    36.8,0.000100,0.000067,-0.000878,0.000093,   5.494
    37.0,0.000107,0.000072,-0.000918,0.000093,   5.490
    37.2,0.000109,0.000072,-0.000950,0.000058,   5.490
    37.4,0.000106,0.000065,-0.000975,0.000093,   5.490
    37.6,0.000109,0.000072,-0.000994,0.000093,   5.488
    37.8,0.000109,0.000073,-0.001006,0.000058,   5.491
    38.0,0.000106,0.000068,-0.001001,0.000080,   5.488
    38.2,0.000112,0.000068,-0.000995,0.000080,   5.490
    38.4,0.000115,0.000070,-0.000993,0.000058,   5.490
    38.6,0.000111,0.000068,-0.000974,0.000080,   5.489
    38.8,0.000117,0.000072,-0.000955,0.000080,   5.485
    39.0,0.000117,0.000077,-0.000968,0.000058,   5.486
    39.2,0.000117,0.000074,-0.000987,0.000080,   5.485
    39.4,0.000111,0.000076,-0.001013,0.000080,   5.487
    39.6,0.000117,0.000074,-0.000943,0.000058,   5.488
    39.8,0.000115,0.000071,-0.000834,0.000093,   5.484
    40.0,0.000108,0.000080,-0.000680,0.000093,   5.486
    40.2,0.000108,0.000083,-0.000673,0.000071,   5.485
    40.4,0.000115,0.000080,-0.000725,0.000106,   5.492
    40.6,0.000111,0.000082,-0.000828,0.000106,   5.488
    40.8,0.000115,0.000080,-0.000782,0.000084,   5.485
    41.0,0.000115,0.000077,-0.000692,0.000106,   5.481
    41.2,0.000111,0.000082,-0.000551,0.000106,   5.486
    41.4,0.000117,0.000080,-0.000499,0.000084,   5.484
    41.6,0.000117,0.000075,-0.000447,0.000106,   5.489
    41.8,0.000120,0.000080,-0.000421,0.000106,   5.485
    42.0,0.000120,0.000080,-0.000409,0.000084,   5.485
    42.2,0.000126,0.000078,-0.000422,0.000106,   5.487
    42.4,0.000129,0.000078,-0.000443,0.000106,   5.484
    42.6,0.000128,0.000082,-0.000391,0.000084,   5.485
    42.8,0.000137,0.000080,-0.000307,0.000106,   5.483
    43.0,0.000139,0.000080,-0.000180,0.000106,   5.486
    43.2,0.000136,0.000084,-0.000168,0.000106,   5.480
    43.4,0.000137,0.000082,-0.000206,0.000128,   5.485
    43.6,0.000139,0.000084,-0.000278,0.000128,   5.485
    43.8,0.000136,0.000090,-0.000265,0.000093,   5.481
    44.0,0.000145,0.000089,-0.000227,0.000093,   5.481
    44.2,0.000147,0.000092,-0.000175,0.000093,   5.481
    44.4,0.000138,0.000094,-0.000098,0.000058,   5.483
    44.6,0.000145,0.000092,-0.000232,0.000058,   5.480
    44.8,0.000147,0.000100,-0.000432,0.000093,   5.480
    45.0,0.000138,0.000099,-0.000695,0.000071,   5.480
    45.2,0.000145,0.000099,-0.000945,0.000071,   5.480
    45.4,0.000147,0.000101,-0.001213,0.000106,   5.480
    45.6,0.000142,0.000104,-0.001514,0.000106,   5.480
    45.8,0.000146,0.000102,-0.001552,0.000084,   5.479
    46.0,0.000148,0.000106,-0.001463,0.000106,   5.480
    46.2,0.000146,0.000103,-0.001260,0.000119,   5.481
    46.4,0.000146,0.000101,-0.001196,0.000084,   5.480
    46.6,0.000148,0.000103,-0.001144,0.000119,   5.476
    46.8,0.000139,0.000102,-0.001094,0.000133,   5.474
    47.0,0.000139,0.000106,-0.000992,0.000084,   5.479
    47.2,0.000142,0.000098,-0.000864,0.000119,   5.476
    47.4,0.000133,0.000099,-0.000716,0.000133,   5.472
    47.6,0.000139,0.000102,-0.000620,0.000084,   5.471
    47.8,0.000142,0.000099,-0.000531,0.000119,   5.469
    48.0,0.000133,0.000098,-0.000467,0.000133,   5.473
    48.2,0.000139,0.000094,-0.000408,0.000084,   5.469
    48.4,0.000142,0.000091,-0.000345,0.000119,   5.472
    48.6,0.000133,0.000096,-0.000299,0.000133,   5.470
    48.8,0.000139,0.000092,-0.000311,0.000084,   5.471
    49.0,0.000139,0.000085,-0.000343,0.000119,   5.473
    49.2,0.000139,0.000088,-0.000414,0.000133,   5.468
    49.4,0.000139,0.000090,-0.000426,0.000098,   5.467
    49.6,0.000137,0.000084,-0.000426,0.000133,   5.466
    49.8,0.000133,0.000088,-0.000408,0.000146,   5.468
    50.0,0.000139,0.000093,-0.000383,0.000098,   5.469
    50.2,0.000139,0.000093,-0.000357,0.000119,   5.468
    50.4,0.000142,0.000099,-0.000330,0.000133,   5.463
    50.6,0.000133,0.000098,-0.000310,0.000084,   5.458
    50.8,0.000139,0.000096,-0.000292,0.000119,   5.459
    51.0,0.000139,0.000099,-0.000285,0.000133,   5.463
    51.2,0.000133,0.000094,-0.000285,0.000084,   5.465
    51.4,0.000137,0.000089,-0.000292,0.000119,   5.459
    51.6,0.000137,0.000091,-0.000306,0.000133,   5.462
    51.8,0.000133,0.000091,-0.000338,0.000084,   5.462
    52.0,0.000137,0.000088,-0.000390,0.000119,   5.461
    52.2,0.000137,0.000093,-0.000466,0.000133,   5.460
    52.4,0.000137,0.000093,-0.000484,0.000084,   5.458
    52.6,0.000138,0.000092,-0.000485,0.000119,   5.460
    52.8,0.000130,0.000097,-0.000466,0.000133,   5.456
    53.0,0.000119,0.000097,-0.000458,0.000084,   5.459
    53.2,0.000101,0.000095,-0.000439,0.000119,   5.457
    53.4,0.000085,0.000097,-0.000414,0.000119,   5.458
    53.6,0.000063,0.000094,-0.000401,0.000119,   5.461
    53.8,0.000040,0.000088,-0.000394,0.000084,   5.457
    54.0,0.000034,0.000075,-0.000387,0.000119,   5.458
    54.2,0.000034,0.000066,-0.000386,0.000098,   5.462
    54.4,0.000040,0.000053,-0.000344,0.000084,   5.451
    54.6,0.000042,0.000039,-0.000308,0.000119,   5.457
    54.8,0.000048,0.000029,-0.000255,0.000133,   5.460
    55.0,0.000059,0.000019,-0.000391,0.000084,   5.454
    55.2,0.000067,0.000010,-0.000627,0.000119,   5.451
    55.4,0.000066,0.000007,-0.000953,0.000119,   5.452
    55.6,0.000074,0.000005,-0.000971,0.000084,   5.450
    55.8,0.000082,0.000012,-0.000893,0.000106,   5.454
    56.0,0.000087,0.000015,-0.000695,0.000093,   5.452
    56.2,0.000093,0.000027,-0.000668,0.000045,   5.451
    56.4,0.000101,0.000035,-0.000672,0.000053,   5.448
    56.6,0.000106,0.000041,-0.000709,0.000040,   5.449
    56.8,0.000111,0.000046,-0.000740,0.000005,   5.449
    57.0,0.000119,0.000054,-0.000784,0.000053,   5.448
    57.2,0.000127,0.000058,-0.000835,0.000066,   5.450
    57.4,0.000135,0.000064,-0.000822,0.000031,   5.451
    57.6,0.000140,0.000070,-0.000789,0.000066,   5.445
    57.8,0.000146,0.000072,-0.000726,0.000080,   5.449
    58.0,0.000148,0.000074,-0.000688,0.000058,   5.446
    58.2,0.000151,0.000080,-0.000656,0.000093,   5.442
    58.4,0.000147,0.000090,-0.000630,0.000093,   5.444
    58.6,0.000151,0.000099,-0.000541,0.000071,   5.445
    58.8,0.000155,0.000105,-0.000438,0.000106,   5.446
    59.0,0.000157,0.000108,-0.000309,0.000106,   5.444
    59.2,0.000160,0.000114,-0.000277,0.000084,   5.442
    59.4,0.000165,0.000118,-0.000289,0.000106,   5.440
    59.6,0.000168,0.000113,-0.000335,0.000119,   5.443
    59.8,0.000162,0.000118,-0.000425,0.000084,   5.443
    60.0,0.000165,0.000122,-0.000553,0.000119,   5.439
    60.2,0.000165,0.000123,-0.000725,0.000133,   5.440
    60.4,0.000159,0.000129,-0.000757,0.000098,   5.439
    60.6,0.000165,0.000131,-0.000744,0.000133,   5.440
    60.8,0.000165,0.000133,-0.000680,0.000146,   5.440
    61.0,0.000162,0.000129,-0.000718,0.000111,   5.439
    61.2,0.000162,0.000129,-0.000801,0.000133,   5.435
    61.4,0.000162,0.000129,-0.000904,0.000146,   5.440
    61.6,0.000167,0.000130,-0.000852,0.000111,   5.437
    61.8,0.000173,0.000130,-0.000749,0.000146,   5.438
    62.0,0.000176,0.000132,-0.000570,0.000159,   5.436
    62.2,0.000170,0.000134,-0.000517,0.000111,   5.435
    62.4,0.000170,0.000136,-0.000486,0.000146,   5.436
    62.6,0.000172,0.000138,-0.000480,0.000159,   5.435
    62.8,0.000170,0.000140,-0.000467,0.000111,   5.438
    63.0,0.000170,0.000142,-0.000461,0.000146,   5.436
    63.2,0.000172,0.000142,-0.000462,0.000146,   5.434
    63.4,0.000176,0.000142,-0.000418,0.000146,   5.432
    63.6,0.000182,0.000144,-0.000371,0.000111,   5.433
    63.8,0.000187,0.000144,-0.000282,0.000146,   5.433
    64.0,0.000193,0.000144,-0.000197,0.000111,   5.435
    64.2,0.000198,0.000146,-0.000325,0.000111,   5.436
    64.4,0.000201,0.000144,-0.000525,0.000146,   5.431
    64.6,0.000194,0.000144,-0.000808,0.000159,   5.432
    64.8,0.000189,0.000146,-0.000859,0.000111,   5.433
    65.0,0.000186,0.000141,-0.000857,0.000146,   5.434
    65.2,0.000178,0.000137,-0.000784,0.000159,   5.432
    65.4,0.000181,0.000135,-0.000721,0.000111,   5.430
    65.6,0.000181,0.000137,-0.000638,0.000146,   5.427
    65.8,0.000172,0.000141,-0.000536,0.000159,   5.432
    66.0,0.000172,0.000145,-0.000612,0.000124,   5.429
    66.2,0.000175,0.000145,-0.000753,0.000159,   5.427
    66.4,0.000172,0.000145,-0.000971,0.000172,   5.431
    66.6,0.000176,0.000147,-0.000990,0.000124,   5.425
    66.8,0.000178,0.000143,-0.000940,0.000146,   5.425
    67.0,0.000170,0.000145,-0.000844,0.000159,   5.427
    67.2,0.000176,0.000143,-0.000811,0.000111,   5.427
    67.4,0.000178,0.000137,-0.000779,0.000146,   5.428
    67.6,0.000176,0.000135,-0.000753,0.000159,   5.426
    67.8,0.000182,0.000135,-0.000696,0.000146,   5.425
    68.0,0.000182,0.000133,-0.000645,0.000167,   5.425
    68.2,0.000179,0.000135,-0.000581,0.000181,   5.427
    68.4,0.000177,0.000141,-0.000589,0.000181,   5.425
    68.6,0.000177,0.000144,-0.000646,0.000181,   5.423
    68.8,0.000177,0.000144,-0.000747,0.000194,   5.420
    69.0,0.000173,0.000149,-0.000689,0.000159,   5.422
    69.2,0.000179,0.000141,-0.000592,0.000159,   5.419
    69.4,0.000182,0.000144,-0.000426,0.000172,   5.425
    69.6,0.000176,0.000143,-0.000420,0.000138,   5.421
    69.8,0.000176,0.000138,-0.000466,0.000159,   5.424
    70.0,0.000176,0.000145,-0.000558,0.000172,   5.422
    70.2,0.000170,0.000147,-0.000533,0.000138,   5.420
    70.4,0.000173,0.000142,-0.000475,0.000159,   5.420
    70.6,0.000173,0.000147,-0.000391,0.000172,   5.422
    70.8,0.000170,0.000143,-0.000409,0.000138,   5.417
    71.0,0.000173,0.000143,-0.000460,0.000159,   5.417
    71.2,0.000173,0.000141,-0.000556,0.000172,   5.420
    71.4,0.000170,0.000141,-0.000613,0.000138,   5.424
    71.6,0.000171,0.000139,-0.000683,0.000159,   5.421
    71.8,0.000175,0.000138,-0.000760,0.000172,   5.417
    72.0,0.000175,0.000138,-0.000773,0.000138,   5.415
    72.2,0.000175,0.000134,-0.000766,0.000159,   5.418
    72.4,0.000181,0.000135,-0.000739,0.000172,   5.415
    72.6,0.000181,0.000136,-0.000719,0.000138,   5.414
    72.8,0.000178,0.000136,-0.000674,0.000159,   5.416
    73.0,0.000180,0.000134,-0.000630,0.000159,   5.417
    73.2,0.000180,0.000142,-0.000605,0.000172,   5.417
    73.4,0.000178,0.000142,-0.000586,0.000124,   5.414
    73.6,0.000178,0.000136,-0.000585,0.000159,   5.416
    73.8,0.000178,0.000136,-0.000573,0.000138,   5.413
    74.0,0.000178,0.000138,-0.000681,0.000124,   5.415
    74.2,0.000178,0.000133,-0.000834,0.000159,   5.415
    74.4,0.000178,0.000137,-0.001031,0.000172,   5.414
    74.6,0.000178,0.000137,-0.001107,0.000138,   5.416
    74.8,0.000175,0.000139,-0.001127,0.000172,   5.413
    75.0,0.000175,0.000139,-0.001115,0.000172,   5.413
    75.2,0.000175,0.000138,-0.001052,0.000138,   5.415
    75.4,0.000172,0.000144,-0.000956,0.000172,   5.409
    75.6,0.000172,0.000148,-0.000815,0.000172,   5.407
    75.8,0.000175,0.000150,-0.000707,0.000138,   5.409
    76.0,0.000175,0.000152,-0.000611,0.000172,   5.411
    76.2,0.000175,0.000150,-0.000515,0.000172,   5.413
    76.4,0.000175,0.000150,-0.000546,0.000138,   5.410
    76.6,0.000175,0.000148,-0.000642,0.000172,   5.408
    76.8,0.000175,0.000148,-0.000797,0.000172,   5.406
    77.0,0.000181,0.000146,-0.000764,0.000138,   5.403
    77.2,0.000178,0.000144,-0.000668,0.000159,   5.410
    77.4,0.000180,0.000143,-0.000502,0.000172,   5.410
    77.6,0.000189,0.000147,-0.000489,0.000138,   5.411
    77.8,0.000186,0.000142,-0.000515,0.000159,   5.409
    78.0,0.000188,0.000141,-0.000579,0.000172,   5.407
    78.2,0.000192,0.000141,-0.000655,0.000138,   5.405
    78.4,0.000195,0.000143,-0.000745,0.000172,   5.406
    78.6,0.000188,0.000139,-0.000867,0.000186,   5.406
    78.8,0.000195,0.000144,-0.000834,0.000151,   5.403
    79.0,0.000192,0.000151,-0.000732,0.000151,   5.406
    79.2,0.000188,0.000151,-0.000584,0.000151,   5.401
    79.4,0.000195,0.000148,-0.000603,0.000151,   5.407
    79.6,0.000197,0.000150,-0.000667,0.000138,   5.404
    79.8,0.000194,0.000155,-0.000789,0.000124,   5.405
    80.0,0.000194,0.000162,-0.000846,0.000124,   5.405
    80.2,0.000200,0.000162,-0.000891,0.000138,   5.399
    80.4,0.000196,0.000161,-0.000918,0.000138,   5.401
    80.6,0.000200,0.000163,-0.001002,0.000138,   5.403
    80.8,0.000206,0.000158,-0.001116,0.000138,   5.404
    81.0,0.000203,0.000161,-0.001245,0.000138,   5.401
    81.2,0.000203,0.000159,-0.001258,0.000138,   5.400
    81.4,0.000203,0.000153,-0.001238,0.000138,   5.400
    81.6,0.000199,0.000160,-0.001181,0.000138,   5.400
    81.8,0.000205,0.000160,-0.001161,0.000138,   5.399
    82.0,0.000209,0.000160,-0.001135,0.000138,   5.397
    82.2,0.000205,0.000159,-0.001104,0.000138,   5.399
    82.4,0.000211,0.000159,-0.001046,0.000138,   5.397
    82.6,0.000209,0.000154,-0.000970,0.000172,   5.395
    82.8,0.000205,0.000158,-0.000868,0.000172,   5.396
    83.0,0.000209,0.000160,-0.000759,0.000138,   5.400
    83.2,0.000206,0.000158,-0.000752,0.000151,   5.400
    83.4,0.000203,0.000156,-0.000760,0.000151,   5.397
    83.6,0.000209,0.000162,-0.000806,0.000151,   5.399
    83.8,0.000209,0.000165,-0.000877,0.000151,   5.395
    84.0,0.000208,0.000168,-0.000985,0.000151,   5.395
    84.2,0.000214,0.000172,-0.001125,0.000151,   5.395
    84.4,0.000214,0.000169,-0.001144,0.000151,   5.395
    84.6,0.000210,0.000173,-0.001131,0.000151,   5.394
    84.8,0.000219,0.000169,-0.001073,0.000151,   5.391
    85.0,0.000219,0.000169,-0.001009,0.000151,   5.394
    85.2,0.000213,0.000169,-0.000914,0.000151,   5.392
    85.4,0.000219,0.000172,-0.000811,0.000151,   5.393
    85.6,0.000219,0.000175,-0.000817,0.000151,   5.390
    85.8,0.000213,0.000172,-0.000850,0.000151,   5.391
    86.0,0.000222,0.000174,-0.000939,0.000151,   5.389
    86.2,0.000222,0.000177,-0.000880,0.000164,   5.391
    86.4,0.000218,0.000174,-0.000760,0.000164,   5.388
    86.6,0.000225,0.000175,-0.000593,0.000164,   5.388
    86.8,0.000225,0.000181,-0.000523,0.000177,   5.389
    87.0,0.000221,0.000181,-0.000484,0.000164,   5.393
    87.2,0.000230,0.000182,-0.000460,0.000164,   5.391
    87.4,0.000235,0.000189,-0.000389,0.000177,   5.387
    87.6,0.000238,0.000187,-0.000305,0.000164,   5.389
    87.8,0.000241,0.000185,-0.000214,0.000164,   5.387
    88.0,0.000246,0.000188,-0.000175,0.000177,   5.390
