Run Name,group 1
Run Date,01:27:45 PM   03-05-15
Method Name,12% C
Export Format Version, 1.00
Method ID, 2240
Points/Second, 5.00
Number of Records,   1563
Offset from Run Start Time,00:00:00
Run End Time,00:05:18
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.001090,0.001145,0.007906,0.000734,  39.271
     0.2,0.001086,0.001140,0.007919,0.000698,  39.264
     0.4,0.001093,0.001144,0.007908,0.000734,  39.267
     0.6,0.001093,0.001136,0.007871,0.000734,  39.265
     0.8,0.001086,0.001138,0.007866,0.000698,  39.259
     1.0,0.001093,0.001133,0.007854,0.000734,  39.258
     1.2,0.001093,0.001136,0.007830,0.000734,  39.254
     1.4,0.001089,0.001139,0.007867,0.000698,  39.257
     1.6,0.001095,0.001139,0.007941,0.000734,  39.254
     1.8,0.001095,0.001139,0.008052,0.000734,  39.261
     2.0,0.001091,0.001147,0.008058,0.000698,  39.249
     2.2,0.001104,0.001145,0.008027,0.000734,  39.251
     2.4,0.001183,0.001148,0.007979,0.000734,  39.249
     2.6,0.001384,0.000000,0.007986,0.000734,  39.247
     2.8,0.000268,0.000000,0.007986,0.000721,  39.243
     3.0,-0.000981,0.000000,0.007993,0.000743,  39.243
     3.2,0.000000,0.000000,0.008000,0.000743,  39.232
     3.4,0.000000,0.000000,0.008007,0.000743,  39.235
     3.6,0.000000,0.000000,0.007564,0.000000,  39.237
     3.8,0.000000,0.000000,0.007564,0.000000,  39.227
     4.0,0.000000,0.000000,0.007564,0.000000,  39.208
     4.2,0.000000,0.000000,0.007564,0.000000,  39.201
     4.4,0.000000,0.000000,0.000000,0.000000,  39.197
     4.6,0.000000,0.000000,0.000000,0.000000,  39.202
     4.8,0.000000,0.000000,0.000000,0.000000,  39.195
     5.0,0.000000,0.000000,0.000000,0.000000,  39.192
     5.2,0.000000,0.000000,0.000000,0.000000,  39.191
     5.4,0.000000,0.000000,0.000000,0.000000,  39.190
     5.6,0.000000,0.000000,0.000000,0.000000,  39.191
     5.8,0.000000,0.000000,0.000000,0.000000,  39.189
     6.0,0.000000,0.000000,0.000000,0.000000,  39.190
     6.2,0.000000,0.000000,0.000000,0.000000,  39.190
     6.4,0.000000,0.000000,0.000000,0.000000,  39.188
     6.6,0.000082,0.000000,0.000000,0.000000,  39.194
     6.8,0.000091,0.000022,0.000000,0.000000,  39.190
     7.0,0.000103,0.000044,0.000000,0.000000,  39.187
     7.2,0.000120,0.000072,0.000000,0.000000,  39.185
     7.4,0.000143,0.000091,0.000000,0.000000,  39.179
     7.6,0.000165,0.000105,0.000000,0.000000,  39.183
     7.8,0.000190,0.000117,0.000032,0.000000,  39.190
     8.0,0.000215,0.000150,0.000051,0.000111,  39.183
     8.2,0.000250,0.000180,0.000058,0.000053,  39.178
     8.4,0.000281,0.000221,0.000063,0.000053,  39.179
     8.6,0.000310,0.000245,0.000082,0.000066,  39.181
     8.8,0.000343,0.000271,0.000095,0.000092,  39.182
     9.0,0.000370,0.000292,0.000143,0.000083,  39.177
     9.2,0.000388,0.000313,0.000210,0.000132,  39.178
     9.4,0.000402,0.000329,0.000294,0.000158,  39.172
     9.6,0.000411,0.000343,0.000331,0.000149,  39.179
     9.8,0.000425,0.000354,0.000344,0.000198,  39.175
    10.0,0.000437,0.000372,0.000345,0.000224,  39.165
    10.2,0.000458,0.000390,0.000358,0.000202,  39.161
    10.4,0.000479,0.000407,0.000345,0.000237,  39.160
    10.6,0.000492,0.000425,0.000321,0.000251,  39.165
    10.8,0.000522,0.000436,0.000271,0.000228,  39.166
    11.0,0.000537,0.000455,0.000229,0.000277,  39.165
    11.2,0.000538,0.000470,0.000163,0.000303,  39.160
    11.4,0.000547,0.000484,0.000066,0.000281,  39.162
    11.6,0.000556,0.000497,-0.000049,0.000317,  39.167
    11.8,0.000559,0.000496,-0.000179,0.000330,  39.160
    12.0,0.000562,0.000500,-0.000746,0.000307,  39.155
    12.2,0.000569,0.000500,-0.001539,0.000330,  39.157
    12.4,0.000565,0.000495,-0.002552,0.000330,  39.153
    12.6,0.000566,0.000493,-0.002583,0.000307,  39.152
    12.8,0.000560,0.000491,-0.002224,0.000343,  39.153
    13.0,0.000550,0.000489,-0.001488,0.000356,  39.148
    13.2,0.000554,0.000485,-0.001249,0.000321,  39.150
    13.4,0.000551,0.000478,-0.001081,0.000356,  39.151
    13.6,0.000548,0.000479,-0.000979,0.000369,  39.152
    13.8,0.000538,0.000474,-0.000872,0.000321,  39.153
    14.0,0.000540,0.000470,-0.000806,0.000356,  39.149
    14.2,0.000540,0.000463,-0.000782,0.000369,  39.146
    14.4,0.000533,0.000460,-0.000717,0.000334,  39.151
    14.6,0.000537,0.000457,-0.000670,0.000369,  39.151
    14.8,0.000534,0.000450,-0.000610,0.000383,  39.149
    15.0,0.000524,0.000448,-0.000575,0.000334,  39.150
    15.2,0.000528,0.000454,-0.000564,0.000356,  39.149
    15.4,0.000525,0.000449,-0.000564,0.000369,  39.152
    15.6,0.000512,0.000447,-0.000529,0.000321,  39.156
    15.8,0.000516,0.000443,-0.000506,0.000356,  39.153
    16.0,0.000516,0.000443,-0.000476,0.000356,  39.153
    16.2,0.000509,0.000440,-0.000453,0.000334,  39.153
    16.4,0.000507,0.000432,-0.000430,0.000356,  39.161
    16.6,0.000507,0.000430,-0.000405,0.000356,  39.161
    16.8,0.000513,0.000433,-0.000580,0.000356,  39.161
    17.0,0.000515,0.000434,-0.000857,0.000343,  39.162
    17.2,0.000517,0.000434,-0.001228,0.000343,  39.158
    17.4,0.000516,0.000434,-0.001714,0.000321,  39.156
    17.6,0.000519,0.000436,-0.001858,0.000321,  39.165
    17.8,0.000522,0.000441,-0.001918,0.000321,  39.162
    18.0,0.000518,0.000440,-0.001918,0.000298,  39.163
    18.2,0.000525,0.000443,-0.001816,0.000321,  39.168
    18.4,0.000528,0.000445,-0.001649,0.000321,  39.163
    18.6,0.000521,0.000445,-0.001397,0.000298,  39.179
    18.8,0.000518,0.000448,-0.001320,0.000321,  39.173
    19.0,0.000524,0.000453,-0.001283,0.000321,  39.176
    19.2,0.000524,0.000448,-0.001318,0.000298,  39.178
    19.4,0.000531,0.000455,-0.001235,0.000334,  39.180
    19.6,0.000531,0.000455,-0.001103,0.000334,  39.183
    19.8,0.000524,0.000453,-0.000973,0.000311,  39.188
    20.0,0.000525,0.000455,-0.000907,0.000347,  39.189
    20.2,0.000528,0.000459,-0.000872,0.000334,  39.194
    20.4,0.000524,0.000459,-0.000860,0.000311,  39.196
    20.6,0.000537,0.000459,-0.000974,0.000347,  39.204
    20.8,0.000540,0.000466,-0.001184,0.000334,  39.204
    21.0,0.000536,0.000461,-0.001466,0.000311,  39.206
    21.2,0.000540,0.000459,-0.001580,0.000347,  39.211
    21.4,0.000540,0.000459,-0.001645,0.000334,  39.215
    21.6,0.000536,0.000454,-0.001680,0.000311,  39.210
    21.8,0.000536,0.000452,-0.001650,0.000347,  39.211
    22.0,0.000542,0.000459,-0.001566,0.000334,  39.212
    22.2,0.000538,0.000456,-0.001432,0.000311,  39.212
    22.4,0.000545,0.000456,-0.001738,0.000347,  39.211
    22.6,0.000545,0.000459,-0.002230,0.000334,  39.219
    22.8,0.000548,0.000454,-0.002910,0.000311,  39.218
    23.0,0.000541,0.000451,-0.002868,0.000347,  39.221
    23.2,0.000545,0.000449,-0.002570,0.000334,  39.224
    23.4,0.000551,0.000453,-0.001990,0.000311,  39.223
    23.6,0.000547,0.000455,-0.001714,0.000347,  39.229
    23.8,0.000557,0.000466,-0.001462,0.000334,  39.238
    24.0,0.000560,0.000470,-0.001248,0.000311,  39.237
    24.2,0.000556,0.000472,-0.001098,0.000347,  39.236
    24.4,0.000563,0.000468,-0.000983,0.000334,  39.239
    24.6,0.000563,0.000470,-0.000911,0.000334,  39.244
    24.8,0.000556,0.000475,-0.000864,0.000311,  39.247
    25.0,0.000563,0.000477,-0.000851,0.000311,  39.251
    25.2,0.000560,0.000482,-0.000850,0.000334,  39.248
    25.4,0.000550,0.000482,-0.000807,0.000311,  39.250
    25.6,0.000551,0.000481,-0.000735,0.000347,  39.255
    25.8,0.000548,0.000486,-0.000670,0.000347,  39.261
    26.0,0.000538,0.000486,-0.000580,0.000325,  39.261
    26.2,0.000540,0.000481,-0.000633,0.000347,  39.265
    26.4,0.000537,0.000474,-0.000739,0.000334,  39.266
    26.6,0.000527,0.000469,-0.000900,0.000311,  39.267
    26.8,0.000528,0.000469,-0.000887,0.000347,  39.268
    27.0,0.000529,0.000461,-0.000815,0.000334,  39.266
    27.2,0.000526,0.000458,-0.000690,0.000298,  39.270
    27.4,0.000534,0.000456,-0.000617,0.000334,  39.270
    27.6,0.000530,0.000461,-0.000545,0.000307,  39.270
    27.8,0.000530,0.000461,-0.000485,0.000272,  39.275
    28.0,0.000523,0.000459,-0.000478,0.000307,  39.278
    28.2,0.000519,0.000457,-0.000494,0.000294,  39.281
    28.4,0.000519,0.000462,-0.000572,0.000259,  39.282
    28.6,0.000529,0.000463,-0.000554,0.000294,  39.285
    28.8,0.000532,0.000466,-0.000487,0.000281,  39.284
    29.0,0.000525,0.000463,-0.000385,0.000245,  39.282
    29.2,0.000528,0.000463,-0.000500,0.000294,  39.283
    29.4,0.000531,0.000464,-0.000697,0.000281,  39.284
    29.6,0.000524,0.000461,-0.000997,0.000245,  39.289
    29.8,0.000531,0.000456,-0.000997,0.000294,  39.289
    30.0,0.000534,0.000466,-0.000876,0.000281,  39.292
    30.2,0.000530,0.000471,-0.000689,0.000245,  39.298
    30.4,0.000533,0.000473,-0.000622,0.000294,  39.300
    30.6,0.000540,0.000478,-0.000592,0.000281,  39.300
    30.8,0.000533,0.000482,-0.000573,0.000245,  39.304
    31.0,0.000540,0.000485,-0.000523,0.000294,  39.308
    31.2,0.000537,0.000485,-0.000513,0.000281,  39.311
    31.4,0.000540,0.000490,-0.000476,0.000245,  39.310
    31.6,0.000536,0.000493,-0.000421,0.000294,  39.319
    31.8,0.000545,0.000495,-0.000386,0.000281,  39.322
    32.0,0.000551,0.000495,-0.000338,0.000245,  39.332
    32.2,0.000547,0.000501,-0.000290,0.000294,  39.336
    32.4,0.000550,0.000498,-0.000223,0.000281,  39.333
    32.6,0.000553,0.000496,-0.000176,0.000245,  39.336
    32.8,0.000553,0.000504,-0.000140,0.000294,  39.338
    33.0,0.000550,0.000508,-0.000121,0.000294,  39.341
    33.2,0.000556,0.000514,-0.000102,0.000259,  39.345
    33.4,0.000565,0.000523,-0.000306,0.000294,  39.345
    33.6,0.000576,0.000525,-0.000636,0.000294,  39.344
    33.8,0.000586,0.000534,-0.001093,0.000294,  39.349
    34.0,0.000596,0.000541,-0.001081,0.000259,  39.347
    34.2,0.000603,0.000543,-0.000906,0.000259,  39.348
    34.4,0.000618,0.000547,-0.000570,0.000294,  39.353
    34.6,0.000630,0.000559,-0.000467,0.000259,  39.357
    34.8,0.000638,0.000566,-0.000400,0.000294,  39.354
    35.0,0.000651,0.000576,-0.000365,0.000307,  39.353
    35.2,0.000667,0.000593,-0.000358,0.000285,  39.358
    35.4,0.000691,0.000614,-0.000305,0.000321,  39.356
    35.6,0.000707,0.000632,-0.000259,0.000321,  39.357
    35.8,0.000726,0.000649,-0.000207,0.000298,  39.358
    36.0,0.000756,0.000672,-0.000147,0.000347,  39.361
    36.2,0.000777,0.000688,-0.000092,0.000360,  39.361
    36.4,0.000797,0.000708,-0.000036,0.000351,  39.365
    36.6,0.000817,0.000736,-0.000006,0.000400,  39.362
    36.8,0.000843,0.000775,0.000013,0.000400,  39.361
    37.0,0.000867,0.000799,0.000027,0.000391,  39.370
    37.2,0.000890,0.000816,0.000087,0.000439,  39.369
    37.4,0.000913,0.000837,0.000160,0.000439,  39.366
    37.6,0.000939,0.000864,0.000257,0.000417,  39.374
    37.8,0.000965,0.000886,0.000143,0.000453,  39.372
    38.0,0.000983,0.000912,-0.000065,0.000466,  39.378
    38.2,0.000990,0.000938,-0.000382,0.000457,  39.374
    38.4,0.001005,0.000965,-0.000380,0.000492,  39.373
    38.6,0.001022,0.000986,-0.000296,0.000505,  39.379
    38.8,0.001027,0.001004,-0.000084,0.000483,  39.379
    39.0,0.001046,0.001021,-0.000379,0.000545,  39.380
    39.2,0.001051,0.001038,-0.000871,0.000545,  39.379
    39.4,0.001057,0.001051,-0.001566,0.000523,  39.377
    39.6,0.001060,0.001054,-0.001501,0.000571,  39.378
    39.8,0.001060,0.001054,-0.001147,0.000571,  39.377
    40.0,0.001060,0.001054,-0.000522,0.000549,  39.383
    40.2,0.001047,0.001050,-0.000299,0.000585,  39.381
    40.4,0.001046,0.001045,-0.000149,0.000585,  39.382
    40.6,0.001043,0.001033,-0.000052,0.000562,  39.380
    40.8,0.001030,0.001023,0.000038,0.000585,  39.385
    41.0,0.001028,0.001016,0.000092,0.000585,  39.384
    41.2,0.001022,0.001001,0.000110,0.000562,  39.386
    41.4,0.001010,0.000994,0.000176,0.000585,  39.384
    41.6,0.001011,0.000991,0.000217,0.000585,  39.385
    41.8,0.001005,0.000983,0.000257,0.000562,  39.386
    42.0,0.000989,0.000977,0.000293,0.000585,  39.388
    42.2,0.000987,0.000970,0.000311,0.000585,  39.384
    42.4,0.000976,0.000954,0.000304,0.000585,  39.386
    42.6,0.000957,0.000946,0.000321,0.000549,  39.385
    42.8,0.000944,0.000931,0.000334,0.000536,  39.384
    43.0,0.000929,0.000920,0.000339,0.000558,  39.389
    43.2,0.000911,0.000916,0.000332,0.000523,  39.387
    43.4,0.000906,0.000912,0.000320,0.000558,  39.385
    43.6,0.000895,0.000901,0.000295,0.000545,  39.386
    43.8,0.000879,0.000885,0.000265,0.000509,  39.387
    44.0,0.000880,0.000867,0.000228,0.000545,  39.389
    44.2,0.000865,0.000851,0.000198,0.000519,  39.386
    44.4,0.000841,0.000832,0.000163,0.000483,  39.393
    44.6,0.000828,0.000819,0.000113,0.000519,  39.391
    44.8,0.000816,0.000806,0.000059,0.000505,  39.389
    45.0,0.000800,0.000795,0.000030,0.000457,  39.390
    45.2,0.000802,0.000788,0.000048,0.000479,  39.392
    45.4,0.000799,0.000788,0.000071,0.000453,  39.389
    45.6,0.000786,0.000776,0.000119,0.000404,  39.397
    45.8,0.000790,0.000768,0.000106,0.000439,  39.389
    46.0,0.000787,0.000760,0.000059,0.000426,  39.390
    46.2,0.000774,0.000751,-0.000026,0.000391,  39.386
    46.4,0.000775,0.000747,-0.000015,0.000439,  39.393
    46.6,0.000770,0.000742,0.000013,0.000426,  39.389
    46.8,0.000760,0.000740,0.000079,0.000426,  39.391
    47.0,0.000761,0.000733,0.000072,0.000439,  39.391
    47.2,0.000761,0.000725,0.000028,0.000462,  39.386
    47.4,0.000754,0.000719,-0.000015,0.000462,  39.388
    47.6,0.000755,0.000712,-0.000045,0.000426,  39.396
    47.8,0.000749,0.000703,-0.000099,0.000449,  39.392
    48.0,0.000746,0.000697,-0.000159,0.000426,  39.395
    48.2,0.000738,0.000692,-0.000154,0.000426,  39.389
    48.4,0.000732,0.000688,-0.000119,0.000439,  39.393
    48.6,0.000726,0.000685,-0.000083,0.000404,  39.387
    48.8,0.000716,0.000685,-0.000133,0.000439,  39.389
    49.0,0.000720,0.000683,-0.000193,0.000426,  39.388
    49.2,0.000721,0.000679,-0.000281,0.000391,  39.398
    49.4,0.000714,0.000674,-0.000318,0.000426,  39.392
    49.6,0.000713,0.000668,-0.000343,0.000413,  39.396
    49.8,0.000713,0.000663,-0.000330,0.000377,  39.394
    50.0,0.000703,0.000656,-0.000343,0.000413,  39.399
    50.2,0.000699,0.000647,-0.000380,0.000413,  39.400
    50.4,0.000692,0.000638,-0.000415,0.000377,  39.399
    50.6,0.000680,0.000629,-0.000422,0.000413,  39.403
    50.8,0.000688,0.000628,-0.000417,0.000413,  39.397
    51.0,0.000685,0.000624,-0.000399,0.000413,  39.404
    51.2,0.000675,0.000619,-0.000388,0.000377,  39.410
    51.4,0.000669,0.000621,-0.000370,0.000391,  39.401
    51.6,0.000666,0.000619,-0.000353,0.000413,  39.406
    51.8,0.000663,0.000608,-0.000353,0.000391,  39.411
    52.0,0.000657,0.000594,-0.000383,0.000413,  39.414
    52.2,0.000651,0.000589,-0.000436,0.000400,  39.413
    52.4,0.000651,0.000584,-0.000478,0.000364,  39.418
    52.6,0.000641,0.000581,-0.000501,0.000400,  39.416
    52.8,0.000631,0.000576,-0.000544,0.000387,  39.423
    53.0,0.000635,0.000572,-0.000579,0.000351,  39.419
    53.2,0.000629,0.000570,-0.000597,0.000387,  39.429
    53.4,0.000626,0.000568,-0.000609,0.000387,  39.438
    53.6,0.000626,0.000566,-0.000609,0.000351,  39.446
    53.8,0.000630,0.000564,-0.000627,0.000387,  39.451
    54.0,0.000630,0.000567,-0.000657,0.000387,  39.455
    54.2,0.000630,0.000562,-0.000723,0.000351,  39.455
    54.4,0.000631,0.000558,-0.000713,0.000387,  39.453
    54.6,0.000631,0.000556,-0.000677,0.000387,  39.460
    54.8,0.000631,0.000557,-0.000610,0.000351,  39.461
    55.0,0.000628,0.000555,-0.000610,0.000387,  39.462
    55.2,0.000626,0.000556,-0.000647,0.000387,  39.459
    55.4,0.000619,0.000559,-0.000683,0.000351,  39.463
    55.6,0.000619,0.000556,-0.000683,0.000387,  39.464
    55.8,0.000616,0.000548,-0.000677,0.000387,  39.462
    56.0,0.000610,0.000540,-0.000672,0.000351,  39.466
    56.2,0.000614,0.000544,-0.000697,0.000387,  39.467
    56.4,0.000617,0.000542,-0.000732,0.000387,  39.465
    56.6,0.000614,0.000542,-0.000790,0.000338,  39.463
    56.8,0.000614,0.000542,-0.000928,0.000373,  39.467
    57.0,0.000621,0.000543,-0.001144,0.000373,  39.465
    57.2,0.000611,0.000538,-0.001396,0.000325,  39.464
    57.4,0.000618,0.000537,-0.001349,0.000360,  39.469
    57.6,0.000612,0.000536,-0.001176,0.000373,  39.461
    57.8,0.000608,0.000536,-0.000882,0.000338,  39.466
    58.0,0.000615,0.000535,-0.000822,0.000373,  39.466
    58.2,0.000615,0.000542,-0.000829,0.000360,  39.468
    58.4,0.000612,0.000547,-0.000870,0.000338,  39.469
    58.6,0.000602,0.000542,-0.000804,0.000373,  39.468
    58.8,0.000606,0.000541,-0.000690,0.000360,  39.465
    59.0,0.000601,0.000541,-0.000557,0.000338,  39.470
    59.2,0.000588,0.000537,-0.000467,0.000373,  39.468
    59.4,0.000586,0.000525,-0.000395,0.000373,  39.469
    59.6,0.000577,0.000514,-0.000353,0.000338,  39.468
    59.8,0.000559,0.000507,-0.000593,0.000373,  39.470
    60.0,0.000548,0.000500,-0.001014,0.000360,  39.474
    60.2,0.000534,0.000487,-0.001583,0.000347,  39.473
    60.4,0.000509,0.000471,-0.001583,0.000325,  39.476
    60.6,0.000502,0.000459,-0.001359,0.000311,  39.478
    60.8,0.000487,0.000448,-0.000944,0.000334,  39.479
    61.0,0.000466,0.000436,-0.000805,0.000298,  39.481
    61.2,0.000455,0.000429,-0.000708,0.000307,  39.483
    61.4,0.000441,0.000417,-0.000641,0.000281,  39.482
    61.6,0.000419,0.000401,-0.000634,0.000232,  39.483
    61.8,0.000396,0.000395,-0.000550,0.000268,  39.482
    62.0,0.000390,0.000391,-0.000465,0.000241,  39.487
    62.2,0.000393,0.000386,-0.000380,0.000206,  39.490
    62.4,0.000396,0.000385,-0.000361,0.000228,  39.483
    62.6,0.000399,0.000385,-0.000390,0.000215,  39.484
    62.8,0.000405,0.000388,-0.000485,0.000179,  39.486
    63.0,0.000411,0.000390,-0.000647,0.000202,  39.486
    63.2,0.000419,0.000397,-0.000857,0.000175,  39.488
    63.4,0.000421,0.000396,-0.001158,0.000140,  39.487
    63.6,0.000433,0.000400,-0.001170,0.000175,  39.484
    63.8,0.000444,0.000403,-0.001091,0.000175,  39.490
    64.0,0.000453,0.000406,-0.000898,0.000140,  39.489
    64.2,0.000469,0.000415,-0.000796,0.000175,  39.488
    64.4,0.000480,0.000427,-0.000706,0.000162,  39.485
    64.6,0.000492,0.000436,-0.000603,0.000140,  39.489
    64.8,0.000511,0.000445,-0.000483,0.000189,  39.490
    65.0,0.000522,0.000454,-0.000395,0.000202,  39.488
    65.2,0.000527,0.000463,-0.000282,0.000179,  39.488
    65.4,0.000536,0.000473,-0.000259,0.000228,  39.486
    65.6,0.000544,0.000483,-0.000296,0.000255,  39.493
    65.8,0.000553,0.000494,-0.000380,0.000232,  39.489
    66.0,0.000559,0.000504,-0.000483,0.000281,  39.493
    66.2,0.000565,0.000513,-0.000626,0.000294,  39.492
    66.4,0.000573,0.000516,-0.000816,0.000285,  39.491
    66.6,0.000579,0.000526,-0.000781,0.000334,  39.491
    66.8,0.000579,0.000531,-0.000668,0.000334,  39.489
    67.0,0.000582,0.000527,-0.000477,0.000347,  39.488
    67.2,0.000588,0.000529,-0.000383,0.000347,  39.486
    67.4,0.000585,0.000526,-0.000300,0.000369,  39.486
    67.6,0.000588,0.000523,-0.000235,0.000383,  39.483
    67.8,0.000591,0.000523,-0.000194,0.000347,  39.486
    68.0,0.000591,0.000526,-0.000164,0.000383,  39.483
    68.2,0.000594,0.000526,-0.000176,0.000396,  39.487
    68.4,0.000597,0.000525,-0.000171,0.000360,  39.486
    68.6,0.000597,0.000527,-0.000171,0.000396,  39.487
    68.8,0.000602,0.000529,-0.000196,0.000383,  39.484
    69.0,0.000602,0.000527,-0.000395,0.000396,  39.481
    69.2,0.000602,0.000532,-0.000683,0.000396,  39.475
    69.4,0.000605,0.000534,-0.001072,0.000396,  39.473
    69.6,0.000608,0.000534,-0.001150,0.000409,  39.471
    69.8,0.000608,0.000542,-0.001139,0.000373,  39.475
    70.0,0.000608,0.000544,-0.000995,0.000396,  39.473
    70.2,0.000608,0.000536,-0.000760,0.000409,  39.472
    70.4,0.000608,0.000536,-0.000730,0.000373,  39.475
    70.6,0.000608,0.000538,-0.000730,0.000396,  39.472
    70.8,0.000611,0.000531,-0.000748,0.000409,  39.469
    71.0,0.000611,0.000534,-0.001109,0.000373,  39.469
    71.2,0.000608,0.000532,-0.001656,0.000409,  39.471
    71.4,0.000605,0.000532,-0.002374,0.000409,  39.470
    71.6,0.000603,0.000528,-0.002387,0.000373,  39.469
    71.8,0.000601,0.000529,-0.002153,0.000409,  39.469
    72.0,0.000598,0.000524,-0.001637,0.000409,  39.470
    72.2,0.000599,0.000522,-0.001470,0.000373,  39.466
    72.4,0.000599,0.000520,-0.001343,0.000409,  39.468
    72.6,0.000599,0.000522,-0.001254,0.000409,  39.469
    72.8,0.000593,0.000518,-0.001121,0.000373,  39.470
    73.0,0.000587,0.000519,-0.001026,0.000409,  39.470
    73.2,0.000574,0.000519,-0.000905,0.000409,  39.467
    73.4,0.000563,0.000513,-0.000785,0.000373,  39.466
    73.6,0.000557,0.000506,-0.000684,0.000396,  39.465
    73.8,0.000547,0.000494,-0.000577,0.000409,  39.462
    74.0,0.000551,0.000491,-0.000667,0.000360,  39.469
    74.2,0.000551,0.000489,-0.000864,0.000383,  39.468
    74.4,0.000544,0.000484,-0.001162,0.000360,  39.463
    74.6,0.000544,0.000480,-0.001180,0.000347,  39.468
    74.8,0.000551,0.000485,-0.001127,0.000334,  39.466
    75.0,0.000547,0.000490,-0.000970,0.000311,  39.471
    75.2,0.000557,0.000488,-0.000905,0.000334,  39.467
    75.4,0.000560,0.000483,-0.000838,0.000321,  39.464
    75.6,0.000563,0.000488,-0.000766,0.000298,  39.471
    75.8,0.000562,0.000491,-0.001127,0.000334,  39.469
    76.0,0.000566,0.000495,-0.001684,0.000334,  39.467
    76.2,0.000566,0.000495,-0.002469,0.000311,  39.469
    76.4,0.000559,0.000493,-0.002469,0.000347,  39.461
    76.6,0.000563,0.000504,-0.002194,0.000334,  39.468
    76.8,0.000566,0.000501,-0.001667,0.000311,  39.463
    77.0,0.000559,0.000498,-0.001494,0.000347,  39.470
    77.2,0.000562,0.000500,-0.001338,0.000347,  39.467
    77.4,0.000565,0.000502,-0.001241,0.000360,  39.470
    77.6,0.000562,0.000497,-0.001151,0.000325,  39.472
    77.8,0.000569,0.000506,-0.001092,0.000325,  39.474
    78.0,0.000571,0.000503,-0.001042,0.000347,  39.473
    78.2,0.000567,0.000505,-0.000970,0.000325,  39.469
    78.4,0.000573,0.000505,-0.000905,0.000347,  39.470
    78.6,0.000576,0.000502,-0.000827,0.000347,  39.472
    78.8,0.000576,0.000500,-0.000774,0.000325,  39.474
    79.0,0.000583,0.000505,-0.000744,0.000360,  39.474
    79.2,0.000586,0.000512,-0.000744,0.000360,  39.479
    79.4,0.000579,0.000510,-0.000762,0.000338,  39.476
    79.6,0.000583,0.000510,-0.000751,0.000373,  39.476
    79.8,0.000583,0.000512,-0.000709,0.000360,  39.483
    80.0,0.000576,0.000514,-0.000672,0.000338,  39.485
    80.2,0.000583,0.000511,-0.000684,0.000373,  39.485
    80.4,0.000580,0.000511,-0.000697,0.000360,  39.485
    80.6,0.000573,0.000514,-0.000737,0.000338,  39.488
    80.8,0.000580,0.000516,-0.000750,0.000373,  39.486
    81.0,0.000577,0.000516,-0.000730,0.000360,  39.487
    81.2,0.000567,0.000521,-0.000730,0.000338,  39.490
    81.4,0.000571,0.000521,-0.000725,0.000373,  39.489
    81.6,0.000574,0.000516,-0.000700,0.000360,  39.492
    81.8,0.000567,0.000513,-0.000676,0.000338,  39.491
    82.0,0.000571,0.000512,-0.000670,0.000373,  39.493
    82.2,0.000574,0.000512,-0.000658,0.000360,  39.492
    82.4,0.000567,0.000510,-0.000658,0.000338,  39.498
    82.6,0.000574,0.000508,-0.000623,0.000373,  39.498
    82.8,0.000574,0.000506,-0.000556,0.000360,  39.498
    83.0,0.000570,0.000509,-0.000508,0.000338,  39.501
    83.2,0.000570,0.000510,-0.000575,0.000360,  39.500
    83.4,0.000577,0.000513,-0.000688,0.000347,  39.502
    83.6,0.000573,0.000515,-0.000861,0.000325,  39.508
    83.8,0.000573,0.000520,-0.000819,0.000360,  39.507
    84.0,0.000573,0.000519,-0.000736,0.000360,  39.511
    84.2,0.000577,0.000514,-0.000580,0.000338,  39.512
    84.4,0.000578,0.000515,-0.000550,0.000373,  39.511
    84.6,0.000583,0.000515,-0.000550,0.000360,  39.511
    84.8,0.000583,0.000510,-0.000598,0.000338,  39.520
    85.0,0.000583,0.000515,-0.000580,0.000360,  39.512
    85.2,0.000583,0.000515,-0.000570,0.000347,  39.517
    85.4,0.000577,0.000513,-0.000527,0.000325,  39.524
    85.6,0.000580,0.000513,-0.000497,0.000347,  39.522
    85.8,0.000580,0.000515,-0.000492,0.000347,  39.525
    86.0,0.000570,0.000510,-0.000492,0.000347,  39.527
    86.2,0.000567,0.000508,-0.000499,0.000311,  39.527
    86.4,0.000561,0.000510,-0.000485,0.000311,  39.526
    86.6,0.000551,0.000505,-0.000496,0.000347,  39.531
    86.8,0.000544,0.000503,-0.000623,0.000325,  39.527
    87.0,0.000554,0.000506,-0.000797,0.000347,  39.525
    87.2,0.000557,0.000501,-0.001019,0.000347,  39.531
    87.4,0.000550,0.000501,-0.001194,0.000325,  39.530
    87.6,0.000557,0.000501,-0.001350,0.000347,  39.532
    87.8,0.000560,0.000499,-0.001524,0.000347,  39.531
    88.0,0.000553,0.000496,-0.001681,0.000325,  39.531
    88.2,0.000557,0.000497,-0.001830,0.000347,  39.534
    88.4,0.000557,0.000495,-0.001997,0.000347,  39.546
    88.6,0.000550,0.000493,-0.002152,0.000325,  39.542
