Run Name,Run 4
Run Date,07:52:47 PM   03-06-15
Method Name,10% isocratic
Export Format Version, 1.00
Method ID, 2242
Points/Second, 5.00
Number of Records,   3341
Offset from Run Start Time,00:00:00
Run End Time,00:11:11
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000000,0.000000,-0.000942,0.000000,  46.065
     0.2,0.000000,0.000000,-0.000942,0.000000,  46.048
     0.4,0.000000,0.000000,-0.000942,0.000000,  46.023
     0.6,0.000000,0.000000,-0.000942,0.000000,  46.025
     0.8,0.000000,0.000000,0.000000,0.000000,  46.011
     1.0,0.000000,0.000000,0.000000,0.000000,  46.011
     1.2,0.000000,0.000000,0.000000,0.000000,  46.010
     1.4,0.000000,0.000000,0.000000,0.000000,  46.007
     1.6,0.000000,0.000000,0.000000,0.000000,  46.006
     1.8,0.000000,0.000000,0.000000,0.000000,  46.003
     2.0,0.000000,0.000000,0.000000,0.000000,  46.002
     2.2,0.000000,0.000000,0.000000,0.000000,  46.005
     2.4,0.000000,0.000000,0.000000,0.000000,  46.005
     2.6,0.000000,0.000000,0.000000,0.000000,  45.999
     2.8,0.000000,0.000000,0.000000,0.000000,  46.004
     3.0,0.000000,0.000000,0.000000,0.000000,  46.004
     3.2,0.000000,0.000000,0.000000,0.000000,  46.003
     3.4,0.000162,0.000000,0.000000,0.000000,  46.002
     3.6,0.000170,0.000030,0.000000,0.000048,  45.999
     3.8,0.000180,0.000061,-0.000210,0.000038,  46.000
     4.0,0.000205,0.000088,-0.000322,0.000038,  45.997
     4.2,0.000218,0.000107,-0.000404,0.000038,  45.993
     4.4,0.000242,0.000128,-0.000426,0.000016,  45.994
     4.6,0.000268,0.000137,-0.000418,0.000065,  45.996
     4.8,0.000285,0.000157,-0.000352,0.000078,  45.991
     5.0,0.000306,0.000183,-0.000277,0.000069,  45.990
     5.2,0.000314,0.000207,-0.000530,0.000105,  45.984
     5.4,0.000338,0.000227,-0.000910,0.000118,  45.988
     5.6,0.000362,0.000252,-0.001431,0.000095,  45.986
     5.8,0.000381,0.000275,-0.001401,0.000158,  45.987
     6.0,0.000417,0.000297,-0.001171,0.000158,  45.985
     6.2,0.000436,0.000321,-0.000733,0.000135,  45.981
     6.4,0.000470,0.000356,-0.000577,0.000197,  45.973
     6.6,0.000496,0.000378,-0.000459,0.000211,  45.973
     6.8,0.000510,0.000393,-0.000392,0.000201,  45.968
     7.0,0.000537,0.000416,-0.000325,0.000250,  45.971
     7.2,0.000552,0.000432,-0.000288,0.000250,  45.959
     7.4,0.000559,0.000443,-0.000259,0.000250,  45.947
     7.6,0.000575,0.000457,-0.000273,0.000228,  45.946
     7.8,0.000581,0.000469,-0.000325,0.000215,  45.936
     8.0,0.000580,0.000473,-0.000407,0.000250,  45.937
     8.2,0.000587,0.000475,-0.000415,0.000228,  45.932
     8.4,0.000587,0.000484,-0.000430,0.000264,  45.931
     8.6,0.000586,0.000489,-0.000415,0.000264,  45.929
     8.8,0.000598,0.000493,-0.000407,0.000228,  45.920
     9.0,0.000604,0.000495,-0.000347,0.000277,  45.922
     9.2,0.000603,0.000494,-0.000250,0.000277,  45.918
     9.4,0.000606,0.000488,-0.000123,0.000241,  45.915
     9.6,0.000599,0.000486,-0.000055,0.000290,  45.908
     9.8,0.000602,0.000491,-0.000032,0.000277,  45.907
    10.0,0.000599,0.000486,-0.000024,0.000277,  45.906
    10.2,0.000606,0.000477,-0.000031,0.000277,  45.902
    10.4,0.000602,0.000477,-0.000068,0.000299,  45.902
    10.6,0.000599,0.000468,-0.000143,0.000299,  45.893
    10.8,0.000603,0.000466,-0.000202,0.000264,  45.895
    11.0,0.000596,0.000464,-0.000269,0.000286,  45.893
    11.2,0.000593,0.000469,-0.000351,0.000250,  45.888
    11.4,0.000594,0.000471,-0.000403,0.000264,  45.885
    11.6,0.000590,0.000469,-0.000455,0.000264,  45.878
    11.8,0.000590,0.000462,-0.000508,0.000228,  45.877
    12.0,0.000600,0.000462,-0.000760,0.000264,  45.876
    12.2,0.000593,0.000460,-0.001124,0.000264,  45.869
    12.4,0.000593,0.000453,-0.001599,0.000228,  45.855
    12.6,0.000597,0.000455,-0.001666,0.000264,  45.850
    12.8,0.000588,0.000453,-0.001606,0.000264,  45.849
    13.0,0.000582,0.000444,-0.001384,0.000228,  45.845
    13.2,0.000580,0.000442,-0.001288,0.000264,  45.839
    13.4,0.000573,0.000440,-0.001198,0.000250,  45.835
    13.6,0.000577,0.000435,-0.001101,0.000215,  45.832
    13.8,0.000584,0.000443,-0.001027,0.000264,  45.824
    14.0,0.000577,0.000441,-0.000982,0.000250,  45.831
    14.2,0.000581,0.000434,-0.000966,0.000215,  45.825
    14.4,0.000572,0.000433,-0.000966,0.000264,  45.823
    14.6,0.000572,0.000435,-0.000996,0.000250,  45.819
    14.8,0.000572,0.000434,-0.001048,0.000215,  45.811
    15.0,0.000562,0.000436,-0.001076,0.000264,  45.808
    15.2,0.000569,0.000434,-0.001083,0.000250,  45.803
    15.4,0.000569,0.000437,-0.001083,0.000215,  45.803
    15.6,0.000562,0.000430,-0.001083,0.000264,  45.801
    15.8,0.000566,0.000431,-0.001113,0.000250,  45.794
    16.0,0.000556,0.000427,-0.001158,0.000250,  45.795
    16.2,0.000560,0.000422,-0.001551,0.000228,  45.788
    16.4,0.000564,0.000427,-0.002152,0.000215,  45.789
    16.6,0.000558,0.000425,-0.002972,0.000250,  45.785
    16.8,0.000558,0.000420,-0.003016,0.000228,  45.770
    17.0,0.000559,0.000418,-0.002757,0.000250,  45.769
    17.2,0.000549,0.000423,-0.002217,0.000250,  45.764
    17.4,0.000546,0.000425,-0.002024,0.000215,  45.758
    17.6,0.000547,0.000420,-0.001846,0.000250,  45.756
    17.8,0.000537,0.000420,-0.001719,0.000237,  45.753
    18.0,0.000537,0.000422,-0.001600,0.000201,  45.758
    18.2,0.000547,0.000419,-0.001496,0.000237,  45.749
    18.4,0.000543,0.000418,-0.001399,0.000237,  45.750
    18.6,0.000546,0.000421,-0.001317,0.000201,  45.742
    18.8,0.000553,0.000420,-0.001272,0.000215,  45.744
    19.0,0.000549,0.000424,-0.001243,0.000215,  45.747
    19.2,0.000552,0.000430,-0.001251,0.000179,  45.744
    19.4,0.000556,0.000429,-0.001221,0.000192,  45.742
    19.6,0.000549,0.000433,-0.001183,0.000215,  45.745
    19.8,0.000552,0.000430,-0.001153,0.000179,  45.741
    20.0,0.000559,0.000429,-0.001153,0.000192,  45.743
    20.2,0.000552,0.000431,-0.001183,0.000215,  45.742
    20.4,0.000555,0.000434,-0.001251,0.000179,  45.741
    20.6,0.000552,0.000432,-0.001926,0.000179,  45.739
    20.8,0.000548,0.000434,-0.002947,0.000201,  45.738
    21.0,0.000555,0.000432,-0.004310,0.000166,  45.741
    21.2,0.000562,0.000435,-0.004332,0.000166,  45.738
    21.4,0.000558,0.000439,-0.003898,0.000201,  45.738
    21.6,0.000560,0.000440,-0.002969,0.000166,  45.742
    21.8,0.000566,0.000438,-0.002636,0.000179,  45.740
    22.0,0.000559,0.000437,-0.002363,0.000215,  45.745
    22.2,0.000570,0.000445,-0.002133,0.000179,  45.744
    22.4,0.000574,0.000444,-0.001948,0.000215,  45.745
    22.6,0.000570,0.000439,-0.001800,0.000237,  45.746
    22.8,0.000577,0.000440,-0.001675,0.000201,  45.748
    23.0,0.000577,0.000441,-0.001563,0.000250,  45.757
    23.2,0.000580,0.000442,-0.001467,0.000250,  45.756
    23.4,0.000579,0.000439,-0.001407,0.000215,  45.756
    23.6,0.000582,0.000447,-0.001296,0.000228,  45.759
    23.8,0.000585,0.000450,-0.001206,0.000228,  45.761
    24.0,0.000591,0.000452,-0.001117,0.000192,  45.763
    24.2,0.000591,0.000454,-0.001043,0.000192,  45.761
    24.4,0.000594,0.000457,-0.000991,0.000228,  45.765
    24.6,0.000593,0.000459,-0.000946,0.000192,  45.769
    24.8,0.000596,0.000468,-0.000932,0.000192,  45.768
    25.0,0.000605,0.000467,-0.000939,0.000228,  45.776
    25.2,0.000601,0.000459,-0.000970,0.000228,  45.781
    25.4,0.000607,0.000464,-0.000932,0.000228,  45.782
    25.6,0.000611,0.000468,-0.000873,0.000241,  45.780
    25.8,0.000610,0.000475,-0.000813,0.000228,  45.785
    26.0,0.000616,0.000484,-0.000791,0.000241,  45.788
    26.2,0.000622,0.000486,-0.000768,0.000241,  45.794
    26.4,0.000621,0.000486,-0.000769,0.000228,  45.794
    26.6,0.000631,0.000487,-0.000791,0.000192,  45.789
    26.8,0.000634,0.000484,-0.000762,0.000205,  45.801
    27.0,0.000630,0.000486,-0.000762,0.000241,  45.805
    27.2,0.000634,0.000492,-0.000740,0.000205,  45.809
    27.4,0.000634,0.000491,-0.000755,0.000219,  45.814
    27.6,0.000630,0.000501,-0.000756,0.000241,  45.817
    27.8,0.000637,0.000501,-0.000801,0.000205,  45.820
    28.0,0.000639,0.000501,-0.000801,0.000219,  45.821
    28.2,0.000635,0.000506,-0.000786,0.000241,  45.823
    28.4,0.000642,0.000511,-0.000771,0.000205,  45.825
    28.6,0.000642,0.000517,-0.000764,0.000241,  45.828
    28.8,0.000638,0.000519,-0.000787,0.000264,  45.830
    29.0,0.000645,0.000522,-0.000824,0.000228,  45.832
    29.2,0.000645,0.000527,-0.000861,0.000277,  45.840
    29.4,0.000638,0.000527,-0.000891,0.000277,  45.855
    29.6,0.000645,0.000527,-0.000936,0.000241,  45.857
    29.8,0.000649,0.000525,-0.001137,0.000290,  45.860
    30.0,0.000648,0.000525,-0.001418,0.000277,  45.866
    30.2,0.000651,0.000529,-0.001760,0.000254,  45.865
    30.4,0.000658,0.000531,-0.002175,0.000290,  45.866
    30.6,0.000657,0.000536,-0.002685,0.000290,  45.868
    30.8,0.000663,0.000539,-0.003290,0.000268,  45.871
    31.0,0.000673,0.000542,-0.003209,0.000303,  45.877
    31.2,0.000672,0.000546,-0.002803,0.000303,  45.882
    31.4,0.000675,0.000558,-0.002130,0.000281,  45.886
    31.6,0.000684,0.000565,-0.001878,0.000317,  45.885
    31.8,0.000690,0.000563,-0.001701,0.000303,  45.886
    32.0,0.000693,0.000569,-0.001597,0.000281,  45.887
    32.2,0.000699,0.000578,-0.001463,0.000303,  45.890
    32.4,0.000702,0.000579,-0.001345,0.000290,  45.890
    32.6,0.000708,0.000582,-0.001249,0.000268,  45.892
    32.8,0.000714,0.000594,-0.001115,0.000303,  45.892
    33.0,0.000723,0.000605,-0.000959,0.000303,  45.891
    33.2,0.000724,0.000609,-0.000802,0.000281,  45.894
    33.4,0.000730,0.000620,-0.000743,0.000317,  45.892
    33.6,0.000733,0.000629,-0.000705,0.000317,  45.895
    33.8,0.000732,0.000633,-0.000720,0.000294,  45.892
    34.0,0.000745,0.000640,-0.000720,0.000317,  45.898
    34.2,0.000748,0.000647,-0.000735,0.000317,  45.898
    34.4,0.000747,0.000652,-0.000743,0.000317,  45.903
    34.6,0.000757,0.000653,-0.000712,0.000294,  45.897
    34.8,0.000760,0.000655,-0.000690,0.000294,  45.901
    35.0,0.000758,0.000657,-0.000631,0.000330,  45.904
    35.2,0.000768,0.000658,-0.000616,0.000294,  45.901
    35.4,0.000768,0.000658,-0.000623,0.000330,  45.902
    35.6,0.000767,0.000658,-0.000646,0.000330,  45.901
    35.8,0.000780,0.000669,-0.000683,0.000307,  45.905
    36.0,0.000783,0.000673,-0.000675,0.000330,  45.907
    36.2,0.000779,0.000675,-0.000646,0.000317,  45.911
    36.4,0.000786,0.000675,-0.000623,0.000294,  45.907
    36.6,0.000780,0.000670,-0.000601,0.000317,  45.911
    36.8,0.000767,0.000665,-0.000586,0.000317,  45.912
    37.0,0.000768,0.000661,-0.000578,0.000294,  45.913
    37.2,0.000760,0.000657,-0.000608,0.000281,  45.910
    37.4,0.000747,0.000652,-0.000653,0.000281,  45.908
    37.6,0.000748,0.000645,-0.000742,0.000258,  45.907
    37.8,0.000745,0.000643,-0.000809,0.000245,  45.910
    38.0,0.000735,0.000640,-0.000921,0.000268,  45.911
    38.2,0.000733,0.000638,-0.001040,0.000245,  45.910
    38.4,0.000727,0.000638,-0.001048,0.000245,  45.910
    38.6,0.000715,0.000633,-0.001025,0.000268,  45.909
    38.8,0.000719,0.000631,-0.000980,0.000245,  45.915
    39.0,0.000710,0.000625,-0.000973,0.000245,  45.913
    39.2,0.000694,0.000616,-0.000980,0.000268,  45.912
    39.4,0.000692,0.000607,-0.000980,0.000245,  45.913
    39.6,0.000680,0.000596,-0.000906,0.000232,  45.911
    39.8,0.000668,0.000592,-0.000831,0.000254,  45.910
    40.0,0.000669,0.000581,-0.000726,0.000219,  45.912
    40.2,0.000663,0.000570,-0.000681,0.000219,  45.905
    40.4,0.000650,0.000566,-0.000659,0.000241,  45.900
    40.6,0.000651,0.000559,-0.000674,0.000205,  45.905
    40.8,0.000649,0.000553,-0.000688,0.000205,  45.900
    41.0,0.000643,0.000539,-0.000726,0.000215,  45.899
    41.2,0.000635,0.000535,-0.000770,0.000166,  45.895
    41.4,0.000632,0.000531,-0.000793,0.000166,  45.896
    41.6,0.000623,0.000521,-0.000853,0.000188,  45.895
    41.8,0.000620,0.000520,-0.000891,0.000139,  45.899
    42.0,0.000614,0.000511,-0.001091,0.000139,  45.899
    42.2,0.000608,0.000503,-0.001410,0.000188,  45.898
    42.4,0.000598,0.000501,-0.001796,0.000152,  45.893
    42.6,0.000596,0.000494,-0.001788,0.000188,  45.892
    42.8,0.000600,0.000493,-0.001654,0.000224,  45.894
    43.0,0.000593,0.000492,-0.001357,0.000260,  45.897
    43.2,0.000593,0.000496,-0.001297,0.000188,  45.893
    43.4,0.000603,0.000493,-0.001297,0.000237,  45.894
    43.6,0.000601,0.000488,-0.001357,0.000237,  45.896
    43.8,0.000607,0.000494,-0.001320,0.000215,  45.892
    44.0,0.000610,0.000494,-0.001267,0.000250,  45.894
    44.2,0.000606,0.000491,-0.001193,0.000250,  45.894
    44.4,0.000613,0.000496,-0.001096,0.000215,  45.894
    44.6,0.000610,0.000498,-0.001059,0.000228,  45.892
    44.8,0.000609,0.000498,-0.001052,0.000215,  45.897
    45.0,0.000619,0.000503,-0.001066,0.000179,  45.895
    45.2,0.000622,0.000506,-0.001088,0.000192,  45.897
    45.4,0.000615,0.000504,-0.001096,0.000228,  45.898
    45.6,0.000619,0.000501,-0.001111,0.000192,  45.895
    45.8,0.000617,0.000501,-0.001118,0.000192,  45.899
    46.0,0.000607,0.000494,-0.001126,0.000228,  45.896
    46.2,0.000607,0.000497,-0.001134,0.000192,  45.898
    46.4,0.000611,0.000494,-0.001156,0.000192,  45.894
    46.6,0.000604,0.000492,-0.001186,0.000192,  45.896
    46.8,0.000607,0.000490,-0.001261,0.000156,  45.897
    47.0,0.000611,0.000488,-0.001313,0.000192,  45.895
    47.2,0.000604,0.000480,-0.001381,0.000192,  45.898
    47.4,0.000604,0.000475,-0.001477,0.000156,  45.896
    47.6,0.000605,0.000479,-0.001447,0.000192,  45.893
    47.8,0.000596,0.000477,-0.001380,0.000228,  45.893
    48.0,0.000596,0.000472,-0.001253,0.000192,  45.893
    48.2,0.000600,0.000471,-0.001200,0.000192,  45.890
    48.4,0.000590,0.000471,-0.001170,0.000228,  45.889
    48.6,0.000587,0.000469,-0.001141,0.000192,  45.889
    48.8,0.000591,0.000468,-0.001073,0.000192,  45.891
    49.0,0.000584,0.000466,-0.000991,0.000215,  45.890
    49.2,0.000584,0.000461,-0.000909,0.000179,  45.887
    49.4,0.000585,0.000467,-0.000887,0.000215,  45.887
    49.6,0.000585,0.000465,-0.000916,0.000237,  45.883
    49.8,0.000588,0.000465,-0.000984,0.000201,  45.883
    50.0,0.000588,0.000462,-0.000991,0.000237,  45.884
    50.2,0.000588,0.000462,-0.000961,0.000237,  45.881
    50.4,0.000591,0.000462,-0.000961,0.000201,  45.882
    50.6,0.000591,0.000465,-0.000931,0.000237,  45.879
    50.8,0.000588,0.000467,-0.000871,0.000237,  45.882
    51.0,0.000581,0.000462,-0.000797,0.000188,  45.879
    51.2,0.000578,0.000453,-0.000812,0.000224,  45.878
    51.4,0.000579,0.000450,-0.000857,0.000224,  45.880
    51.6,0.000572,0.000443,-0.000917,0.000224,  45.880
    51.8,0.000575,0.000443,-0.000925,0.000188,  45.877
    52.0,0.000575,0.000445,-0.000947,0.000188,  45.874
    52.2,0.000568,0.000447,-0.000977,0.000224,  45.873
    52.4,0.000575,0.000449,-0.001014,0.000188,  45.873
    52.6,0.000575,0.000449,-0.001044,0.000224,  45.872
    52.8,0.000568,0.000447,-0.001111,0.000224,  45.877
    53.0,0.000572,0.000440,-0.001170,0.000188,  45.871
    53.2,0.000576,0.000440,-0.001348,0.000224,  45.868
    53.4,0.000569,0.000440,-0.001593,0.000224,  45.854
    53.6,0.000572,0.000443,-0.001890,0.000188,  45.850
    53.8,0.000572,0.000446,-0.001868,0.000224,  45.851
    54.0,0.000565,0.000444,-0.001719,0.000224,  45.847
    54.2,0.000575,0.000447,-0.001430,0.000201,  45.849
    54.4,0.000575,0.000449,-0.001356,0.000237,  45.848
    54.6,0.000568,0.000446,-0.001327,0.000237,  45.844
    54.8,0.000575,0.000444,-0.001357,0.000215,  45.842
    55.0,0.000575,0.000444,-0.001282,0.000250,  45.835
    55.2,0.000568,0.000447,-0.001193,0.000237,  45.833
    55.4,0.000575,0.000440,-0.001068,0.000201,  45.836
    55.6,0.000575,0.000443,-0.001045,0.000237,  45.832
    55.8,0.000568,0.000435,-0.001075,0.000237,  45.831
    56.0,0.000575,0.000438,-0.001128,0.000188,  45.827
    56.2,0.000575,0.000439,-0.001090,0.000224,  45.825
    56.4,0.000568,0.000439,-0.001023,0.000224,  45.825
    56.6,0.000575,0.000440,-0.000919,0.000188,  45.822
    56.8,0.000575,0.000436,-0.000897,0.000224,  45.820
    57.0,0.000568,0.000439,-0.000897,0.000237,  45.820
    57.2,0.000575,0.000439,-0.000941,0.000215,  45.824
    57.4,0.000575,0.000443,-0.000925,0.000250,  45.821
    57.6,0.000575,0.000438,-0.000888,0.000237,  45.824
    57.8,0.000575,0.000435,-0.000858,0.000201,  45.815
    58.0,0.000571,0.000437,-0.000843,0.000237,  45.816
    58.2,0.000575,0.000431,-0.000828,0.000237,  45.818
    58.4,0.000578,0.000424,-0.000828,0.000201,  45.827
    58.6,0.000571,0.000430,-0.000850,0.000237,  45.813
    58.8,0.000575,0.000432,-0.000865,0.000237,  45.815
    59.0,0.000568,0.000427,-0.000888,0.000201,  45.810
    59.2,0.000575,0.000425,-0.000909,0.000201,  45.809
    59.4,0.000575,0.000424,-0.000917,0.000201,  45.816
    59.6,0.000568,0.000429,-0.000917,0.000166,  45.811
    59.8,0.000575,0.000428,-0.001251,0.000166,  45.814
    60.0,0.000575,0.000430,-0.001771,0.000201,  45.817
    60.2,0.000571,0.000435,-0.002453,0.000201,  45.815
    60.4,0.000578,0.000441,-0.002490,0.000215,  45.810
    60.6,0.000581,0.000444,-0.002283,0.000228,  45.818
    60.8,0.000577,0.000439,-0.001861,0.000228,  45.816
    61.0,0.000581,0.000438,-0.001698,0.000241,  45.819
    61.2,0.000588,0.000443,-0.001571,0.000241,  45.813
    61.4,0.000581,0.000445,-0.001437,0.000228,  45.815
    61.6,0.000588,0.000450,-0.001341,0.000192,  45.818
    61.8,0.000592,0.000447,-0.001281,0.000215,  45.814
    62.0,0.000585,0.000447,-0.001266,0.000237,  45.818
    62.2,0.000589,0.000448,-0.001289,0.000201,  45.812
    62.4,0.000583,0.000445,-0.001251,0.000237,  45.816
    62.6,0.000576,0.000444,-0.001214,0.000237,  45.818
    62.8,0.000582,0.000448,-0.001200,0.000201,  45.816
    63.0,0.000578,0.000445,-0.001214,0.000250,  45.818
    63.2,0.000571,0.000443,-0.001237,0.000250,  45.817
    63.4,0.000578,0.000446,-0.001304,0.000215,  45.819
    63.6,0.000572,0.000448,-0.001401,0.000264,  45.819
    63.8,0.000565,0.000446,-0.001520,0.000250,  45.821
    64.0,0.000575,0.000448,-0.001669,0.000215,  45.828
    64.2,0.000572,0.000450,-0.001669,0.000264,  45.826
    64.4,0.000565,0.000449,-0.001610,0.000250,  45.826
    64.6,0.000575,0.000444,-0.001490,0.000215,  45.827
    64.8,0.000572,0.000444,-0.001446,0.000228,  45.828
    65.0,0.000568,0.000444,-0.001401,0.000215,  45.826
    65.2,0.000578,0.000447,-0.001393,0.000179,  45.829
    65.4,0.000581,0.000451,-0.001319,0.000192,  45.825
    65.6,0.000577,0.000454,-0.001237,0.000215,  45.826
    65.8,0.000584,0.000451,-0.001147,0.000179,  45.826
    66.0,0.000587,0.000452,-0.001139,0.000192,  45.826
    66.2,0.000590,0.000450,-0.001169,0.000215,  45.825
    66.4,0.000590,0.000450,-0.001237,0.000179,  45.825
    66.6,0.000586,0.000452,-0.001200,0.000192,  45.831
    66.8,0.000590,0.000446,-0.001162,0.000215,  45.825
    67.0,0.000587,0.000446,-0.001096,0.000179,  45.825
    67.2,0.000577,0.000447,-0.001103,0.000179,  45.833
    67.4,0.000584,0.000447,-0.001111,0.000201,  45.834
    67.6,0.000577,0.000446,-0.001170,0.000152,  45.828
    67.8,0.000581,0.000450,-0.001192,0.000152,  45.830
    68.0,0.000575,0.000445,-0.001177,0.000188,  45.831
    68.2,0.000565,0.000438,-0.001170,0.000224,  45.830
    68.4,0.000566,0.000430,-0.001185,0.000188,  45.832
    68.6,0.000564,0.000425,-0.001200,0.000211,  45.832
    68.8,0.000552,0.000421,-0.001215,0.000211,  45.827
    69.0,0.000546,0.000428,-0.001215,0.000188,  45.830
    69.2,0.000547,0.000425,-0.001200,0.000211,  45.826
    69.4,0.000537,0.000421,-0.001163,0.000197,  45.826
    69.6,0.000531,0.000421,-0.001133,0.000175,  45.822
    69.8,0.000535,0.000416,-0.001125,0.000197,  45.819
    70.0,0.000525,0.000411,-0.001111,0.000184,  45.820
    70.2,0.000519,0.000399,-0.001111,0.000162,  45.819
    70.4,0.000521,0.000389,-0.001155,0.000184,  45.815
    70.6,0.000508,0.000390,-0.001200,0.000171,  45.817
    70.8,0.000505,0.000386,-0.001282,0.000148,  45.814
    71.0,0.000506,0.000379,-0.001274,0.000135,  45.815
    71.2,0.000499,0.000379,-0.001244,0.000135,  45.817
    71.4,0.000496,0.000379,-0.001199,0.000113,  45.814
    71.6,0.000497,0.000376,-0.001191,0.000099,  45.816
    71.8,0.000490,0.000371,-0.001206,0.000135,  45.813
    72.0,0.000500,0.000374,-0.001235,0.000113,  45.819
    72.2,0.000507,0.000374,-0.001279,0.000113,  45.814
    72.4,0.000503,0.000377,-0.001324,0.000148,  45.817
    72.6,0.000516,0.000375,-0.001390,0.000126,  45.811
    72.8,0.000522,0.000380,-0.001404,0.000126,  45.816
    73.0,0.000518,0.000379,-0.001382,0.000162,  45.812
    73.2,0.000525,0.000386,-0.001345,0.000139,  45.818
    73.4,0.000528,0.000390,-0.001374,0.000126,  45.814
    73.6,0.000524,0.000392,-0.001448,0.000162,  45.816
    73.8,0.000526,0.000394,-0.001553,0.000139,  45.813
    74.0,0.000526,0.000391,-0.001545,0.000126,  45.818
    74.2,0.000525,0.000388,-0.001515,0.000162,  45.819
    74.4,0.000528,0.000390,-0.001440,0.000139,  45.822
    74.6,0.000535,0.000388,-0.001633,0.000126,  45.820
    74.8,0.000531,0.000390,-0.001945,0.000162,  45.822
    75.0,0.000531,0.000390,-0.002374,0.000139,  45.821
    75.2,0.000538,0.000398,-0.002389,0.000139,  45.825
    75.4,0.000538,0.000402,-0.002263,0.000175,  45.822
    75.6,0.000541,0.000401,-0.001996,0.000152,  45.822
    75.8,0.000544,0.000398,-0.001892,0.000152,  45.820
    76.0,0.000547,0.000395,-0.001803,0.000175,  45.826
    76.2,0.000550,0.000397,-0.001714,0.000152,  45.831
    76.4,0.000550,0.000405,-0.001647,0.000175,  45.825
    76.6,0.000547,0.000405,-0.001595,0.000197,  45.827
    76.8,0.000543,0.000405,-0.001551,0.000175,  45.826
    77.0,0.000543,0.000406,-0.001529,0.000197,  45.837
    77.2,0.000550,0.000408,-0.001529,0.000197,  45.833
    77.4,0.000546,0.000413,-0.001522,0.000197,  45.828
    77.6,0.000549,0.000417,-0.001767,0.000175,  45.835
    77.8,0.000556,0.000424,-0.002152,0.000162,  45.831
    78.0,0.000552,0.000422,-0.002677,0.000211,  45.836
    78.2,0.000552,0.000420,-0.002766,0.000188,  45.837
    78.4,0.000562,0.000424,-0.002677,0.000188,  45.841
    78.6,0.000558,0.000424,-0.002470,0.000188,  45.839
    78.8,0.000558,0.000416,-0.002093,0.000152,  45.841
    79.0,0.000564,0.000415,-0.001996,0.000188,  45.845
    79.2,0.000560,0.000420,-0.001922,0.000224,  45.849
    79.4,0.000563,0.000425,-0.001849,0.000188,  45.850
    79.6,0.000573,0.000429,-0.001700,0.000224,  45.848
    79.8,0.000569,0.000434,-0.001537,0.000224,  45.849
    80.0,0.000575,0.000436,-0.001344,0.000201,  45.853
    80.2,0.000578,0.000436,-0.001262,0.000237,  45.849
    80.4,0.000574,0.000436,-0.001232,0.000237,  45.853
    80.6,0.000584,0.000437,-0.001255,0.000215,  45.855
    80.8,0.000585,0.000442,-0.001180,0.000264,  45.850
    81.0,0.000581,0.000434,-0.001091,0.000250,  45.857
    81.2,0.000587,0.000443,-0.000973,0.000215,  45.858
    81.4,0.000590,0.000446,-0.000958,0.000250,  45.852
    81.6,0.000586,0.000445,-0.001003,0.000237,  45.854
    81.8,0.000593,0.000449,-0.001071,0.000201,  45.855
    82.0,0.000593,0.000454,-0.001116,0.000237,  45.855
    82.2,0.000586,0.000457,-0.001198,0.000237,  45.852
    82.4,0.000593,0.000455,-0.001288,0.000201,  45.854
    82.6,0.000593,0.000454,-0.001280,0.000237,  45.856
    82.8,0.000586,0.000449,-0.001243,0.000237,  45.851
    83.0,0.000590,0.000446,-0.001154,0.000188,  45.852
    83.2,0.000587,0.000448,-0.001154,0.000224,  45.851
    83.4,0.000583,0.000443,-0.001206,0.000224,  45.849
    83.6,0.000584,0.000435,-0.001258,0.000175,  45.849
    83.8,0.000581,0.000436,-0.001199,0.000211,  45.850
    84.0,0.000578,0.000434,-0.001117,0.000224,  45.850
    84.2,0.000578,0.000431,-0.001005,0.000188,  45.845
    84.4,0.000568,0.000432,-0.000967,0.000224,  45.846
    84.6,0.000572,0.000432,-0.000929,0.000224,  45.842
    84.8,0.000572,0.000425,-0.000929,0.000188,  45.845
    85.0,0.000559,0.000430,-0.000914,0.000224,  45.845
    85.2,0.000563,0.000430,-0.000899,0.000224,  45.840
    85.4,0.000556,0.000423,-0.000876,0.000188,  45.842
    85.6,0.000556,0.000423,-0.000899,0.000188,  45.841
    85.8,0.000556,0.000421,-0.000966,0.000188,  45.838
    86.0,0.000549,0.000419,-0.001070,0.000152,  45.843
    86.2,0.000551,0.000419,-0.001040,0.000188,  45.842
    86.4,0.000556,0.000419,-0.000995,0.000152,  45.835
    86.6,0.000549,0.000418,-0.000891,0.000188,  45.834
    86.8,0.000545,0.000417,-0.000943,0.000188,  45.833
    87.0,0.000545,0.000415,-0.001062,0.000224,  45.836
    87.2,0.000538,0.000416,-0.001249,0.000224,  45.831
    87.4,0.000542,0.000410,-0.001323,0.000188,  45.833
    87.6,0.000543,0.000408,-0.001360,0.000188,  45.833
    87.8,0.000536,0.000410,-0.001375,0.000188,  45.835
    88.0,0.000546,0.000410,-0.001345,0.000152,  45.833
