Run Name,Run 6
Run Date,04:34:10 PM   03-06-15
Method Name,27%B-Isocratic
Export Format Version, 1.00
Method ID, 2226
Points/Second, 5.00
Number of Records,  11339
Offset from Run Start Time,00:00:00
Run End Time,00:37:47
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.001437,0.001470,-0.023962,0.000390,  84.446
     0.2,0.001440,0.001467,-0.023941,0.000390,  84.392
     0.4,0.001440,0.001470,-0.023856,0.000404,  84.396
     0.6,0.001440,0.001477,-0.023694,0.000426,  84.395
     0.8,0.001440,0.001477,-0.023623,0.000426,  84.391
     1.0,0.001440,0.001474,-0.023545,0.000404,  84.394
     1.2,0.000579,0.001479,-0.024442,0.000426,  84.390
     1.4,0.000611,0.000000,-0.024442,0.000426,  84.392
     1.6,0.000704,0.000000,-0.024442,0.000404,  84.387
     1.8,0.001258,0.000000,-0.024442,0.000426,  84.390
     2.0,0.000000,0.000000,0.000000,0.000446,  84.389
     2.2,0.000000,0.000000,0.000000,0.000000,  84.388
     2.4,0.000000,0.000000,0.000000,0.000000,  84.383
     2.6,0.000000,0.000000,0.000000,0.000000,  84.382
     2.8,0.000000,0.000000,0.000000,0.000000,  84.386
     3.0,0.000000,0.000000,0.000000,0.000000,  84.384
     3.2,0.000000,0.000000,0.000000,0.000000,  84.384
     3.4,0.000000,0.000000,0.000000,0.000000,  84.379
     3.6,0.000000,0.000000,0.000000,0.000000,  84.380
     3.8,0.000000,0.000000,0.000000,0.000000,  84.375
     4.0,0.000000,0.000000,0.000000,0.000000,  84.383
     4.2,0.000000,0.000000,0.000000,0.000000,  84.387
     4.4,0.000000,0.000000,0.000000,0.000000,  84.392
     4.6,0.000000,0.000000,0.000000,0.000000,  84.395
     4.8,0.000000,0.000000,0.000000,0.000000,  84.396
     5.0,0.000050,0.000000,0.000000,0.000000,  84.406
     5.2,0.000091,0.000000,-0.000082,0.000000,  84.408
     5.4,0.000127,0.000122,-0.000117,0.000000,  84.399
     5.6,0.000143,0.000137,-0.000179,0.000000,  84.389
     5.8,0.000155,0.000157,-0.000241,0.000000,  84.379
     6.0,0.000165,0.000170,-0.000302,0.000106,  84.385
     6.2,0.000178,0.000186,-0.000378,0.000119,  84.378
     6.4,0.000199,0.000204,-0.000481,0.000132,  84.380
     6.6,0.000229,0.000217,-0.000488,0.000145,  84.372
     6.8,0.000248,0.000231,-0.000460,0.000172,  84.378
     7.0,0.000277,0.000258,-0.000392,0.000172,  84.374
     7.2,0.000311,0.000289,-0.000447,0.000185,  84.368
     7.4,0.000333,0.000327,-0.000564,0.000212,  84.367
     7.6,0.000365,0.000356,-0.000743,0.000238,  84.372
     7.8,0.000404,0.000392,-0.000778,0.000251,  84.369
     8.0,0.000421,0.000422,-0.000792,0.000278,  84.372
     8.2,0.000438,0.000437,-0.000779,0.000255,  84.366
     8.4,0.000457,0.000461,-0.001281,0.000268,  84.362
     8.6,0.000462,0.000473,-0.002001,0.000295,  84.359
     8.8,0.000465,0.000481,-0.002979,0.000286,  84.358
     9.0,0.000466,0.000500,-0.003068,0.000335,  84.359
     9.2,0.000466,0.000513,-0.002843,0.000361,  84.358
     9.4,0.000463,0.000512,-0.002310,0.000338,  84.356
     9.6,0.000457,0.000517,-0.002241,0.000387,  84.358
     9.8,0.000445,0.000513,-0.002234,0.000401,  84.358
    10.0,0.000442,0.000505,-0.002309,0.000365,  84.357
    10.2,0.000436,0.000499,-0.002371,0.000387,  84.361
    10.4,0.000429,0.000494,-0.002419,0.000374,  84.355
    10.6,0.000432,0.000495,-0.002501,0.000361,  84.353
    10.8,0.000438,0.000503,-0.002502,0.000370,  84.353
    11.0,0.000447,0.000519,-0.002475,0.000370,  84.359
    11.2,0.000453,0.000521,-0.002427,0.000370,  84.355
    11.4,0.000456,0.000514,-0.002380,0.000370,  84.352
    11.6,0.000459,0.000506,-0.002333,0.000384,  84.354
    11.8,0.000459,0.000501,-0.002264,0.000397,  84.353
    12.0,0.000456,0.000497,-0.002265,0.000397,  84.359
    12.2,0.000447,0.000503,-0.002320,0.000410,  84.365
    12.4,0.000444,0.000505,-0.002409,0.000410,  84.370
    12.6,0.000441,0.000503,-0.002450,0.000397,  84.373
    12.8,0.000445,0.000509,-0.002491,0.000397,  84.374
    13.0,0.000438,0.000509,-0.002532,0.000374,  84.374
    13.2,0.000435,0.000512,-0.002670,0.000410,  84.364
    13.4,0.000436,0.000510,-0.002854,0.000410,  84.359
    13.6,0.000429,0.000507,-0.003094,0.000410,  84.361
    13.8,0.000435,0.000510,-0.003374,0.000374,  84.357
    14.0,0.000445,0.000507,-0.003381,0.000374,  84.349
    14.2,0.000435,0.000499,-0.003306,0.000374,  84.349
    14.4,0.000432,0.000502,-0.003142,0.000338,  84.346
    14.6,0.000433,0.000499,-0.003108,0.000374,  84.344
    14.8,0.000424,0.000496,-0.003102,0.000374,  84.343
    15.0,0.000424,0.000491,-0.003122,0.000338,  84.347
    15.2,0.000424,0.000493,-0.003109,0.000338,  84.350
    15.4,0.000427,0.000489,-0.003089,0.000338,  84.347
    15.6,0.000421,0.000481,-0.003069,0.000338,  84.349
    15.8,0.000415,0.000484,-0.003069,0.000325,  84.354
    16.0,0.000418,0.000484,-0.003076,0.000338,  84.353
    16.2,0.000418,0.000477,-0.003090,0.000338,  84.356
    16.4,0.000418,0.000472,-0.003172,0.000325,  84.355
    16.6,0.000415,0.000471,-0.003281,0.000338,  84.357
    16.8,0.000406,0.000459,-0.003452,0.000338,  84.359
    17.0,0.000401,0.000463,-0.003473,0.000361,  84.367
    17.2,0.000389,0.000466,-0.003425,0.000374,  84.358
    17.4,0.000377,0.000457,-0.003322,0.000325,  84.362
    17.6,0.000372,0.000451,-0.003309,0.000348,  84.365
    17.8,0.000366,0.000440,-0.003295,0.000361,  84.365
    18.0,0.000366,0.000438,-0.003302,0.000299,  84.368
    18.2,0.000369,0.000435,-0.003275,0.000286,  84.369
    18.4,0.000375,0.000435,-0.003269,0.000286,  84.370
    18.6,0.000378,0.000432,-0.003269,0.000286,  84.374
    18.8,0.000375,0.000430,-0.003576,0.000272,  84.371
    19.0,0.000375,0.000432,-0.004027,0.000286,  84.372
    19.2,0.000374,0.000429,-0.004632,0.000299,  84.381
    19.4,0.000377,0.000432,-0.004666,0.000299,  84.383
    19.6,0.000383,0.000437,-0.004504,0.000312,  84.382
    19.8,0.000389,0.000439,-0.004130,0.000312,  84.386
    20.0,0.000394,0.000440,-0.004123,0.000312,  84.401
    20.2,0.000397,0.000446,-0.004211,0.000325,  84.410
    20.4,0.000403,0.000446,-0.004395,0.000312,  84.415
    20.6,0.000403,0.000445,-0.004477,0.000312,  84.427
    20.8,0.000403,0.000451,-0.004558,0.000325,  84.435
    21.0,0.000402,0.000448,-0.004626,0.000325,  84.437
    21.2,0.000405,0.000448,-0.004674,0.000338,  84.433
    21.4,0.000408,0.000449,-0.004715,0.000338,  84.431
    21.6,0.000401,0.000448,-0.004756,0.000352,  84.441
    21.8,0.000398,0.000455,-0.004776,0.000316,  84.437
    22.0,0.000399,0.000454,-0.004695,0.000338,  84.445
    22.2,0.000399,0.000456,-0.004607,0.000338,  84.460
    22.4,0.000402,0.000457,-0.004471,0.000338,  84.460
    22.6,0.000399,0.000458,-0.004444,0.000338,  84.467
    22.8,0.000396,0.000460,-0.004464,0.000338,  84.473
    23.0,0.000396,0.000465,-0.004525,0.000338,  84.477
    23.2,0.000390,0.000461,-0.004573,0.000338,  84.484
    23.4,0.000390,0.000461,-0.004648,0.000338,  84.484
    23.6,0.000390,0.000459,-0.004730,0.000338,  84.495
    23.8,0.000393,0.000452,-0.004757,0.000338,  84.499
    24.0,0.000393,0.000454,-0.004791,0.000352,  84.504
    24.2,0.000390,0.000452,-0.004825,0.000352,  84.518
    24.4,0.000387,0.000453,-0.004880,0.000352,  84.572
    24.6,0.000387,0.000460,-0.004934,0.000365,  84.578
    24.8,0.000372,0.000457,-0.005009,0.000365,  84.588
    25.0,0.000363,0.000449,-0.004955,0.000352,  84.610
    25.2,0.000361,0.000443,-0.004846,0.000338,  84.618
    25.4,0.000349,0.000433,-0.004655,0.000338,  84.616
    25.6,0.000342,0.000427,-0.004642,0.000338,  84.622
    25.8,0.000346,0.000418,-0.004703,0.000325,  84.630
    26.0,0.000343,0.000411,-0.004805,0.000312,  84.637
    26.2,0.000349,0.000409,-0.004805,0.000335,  84.639
    26.4,0.000345,0.000414,-0.004772,0.000335,  84.650
    26.6,0.000345,0.000416,-0.004731,0.000299,  84.656
    26.8,0.000355,0.000414,-0.004711,0.000308,  84.664
    27.0,0.000357,0.000422,-0.004684,0.000321,  84.668
    27.2,0.000367,0.000424,-0.004671,0.000286,  84.675
    27.4,0.000373,0.000419,-0.004725,0.000321,  84.682
    27.6,0.000380,0.000424,-0.004800,0.000335,  84.693
    27.8,0.000383,0.000426,-0.004909,0.000299,  84.693
    28.0,0.000386,0.000424,-0.004950,0.000299,  84.712
    28.2,0.000379,0.000431,-0.004950,0.000312,  84.722
    28.4,0.000378,0.000432,-0.004923,0.000312,  84.724
    28.6,0.000381,0.000436,-0.004889,0.000299,  84.732
    28.8,0.000384,0.000443,-0.004835,0.000312,  84.735
    29.0,0.000380,0.000442,-0.004780,0.000312,  84.736
    29.2,0.000383,0.000441,-0.004889,0.000312,  84.747
    29.4,0.000383,0.000441,-0.005072,0.000325,  84.756
    29.6,0.000380,0.000442,-0.005344,0.000325,  84.765
    29.8,0.000391,0.000436,-0.005337,0.000325,  84.768
    30.0,0.000399,0.000442,-0.005269,0.000338,  84.785
    30.2,0.000395,0.000444,-0.005093,0.000338,  84.795
    30.4,0.000398,0.000450,-0.005039,0.000325,  84.808
    30.6,0.000394,0.000454,-0.005026,0.000325,  84.807
    30.8,0.000390,0.000453,-0.005012,0.000338,  84.818
    31.0,0.000402,0.000455,-0.005053,0.000289,  84.824
    31.2,0.000400,0.000454,-0.005087,0.000325,  84.834
    31.4,0.000393,0.000453,-0.005155,0.000325,  84.839
    31.6,0.000393,0.000458,-0.005223,0.000325,  84.850
    31.8,0.000390,0.000461,-0.005576,0.000338,  84.855
    32.0,0.000383,0.000454,-0.006071,0.000338,  84.861
    32.2,0.000383,0.000454,-0.006714,0.000338,  84.872
    32.4,0.000387,0.000450,-0.006701,0.000338,  84.875
    32.6,0.000374,0.000448,-0.006424,0.000338,  84.884
    32.8,0.000371,0.000441,-0.005882,0.000338,  84.892
    33.0,0.000366,0.000446,-0.005733,0.000338,  84.899
    33.2,0.000356,0.000446,-0.005644,0.000338,  84.955
    33.4,0.000359,0.000439,-0.005617,0.000325,  84.956
    33.6,0.000366,0.000436,-0.005610,0.000348,  84.964
    33.8,0.000362,0.000439,-0.005623,0.000361,  84.974
    34.0,0.000368,0.000441,-0.005698,0.000312,  84.976
    34.2,0.000378,0.000442,-0.005739,0.000335,  84.987
    34.4,0.000380,0.000439,-0.005807,0.000348,  84.988
    34.6,0.000386,0.000445,-0.005888,0.000312,  84.997
    34.8,0.000398,0.000449,-0.005814,0.000348,  85.003
    35.0,0.000400,0.000458,-0.005692,0.000361,  85.007
    35.2,0.000406,0.000462,-0.005509,0.000348,  85.015
    35.4,0.000413,0.000467,-0.005713,0.000384,  85.018
    35.6,0.000412,0.000478,-0.006052,0.000397,  85.025
    35.8,0.000418,0.000483,-0.006566,0.000361,  85.030
    36.0,0.000428,0.000494,-0.006594,0.000361,  85.037
    36.2,0.000433,0.000498,-0.006479,0.000387,  85.036
    36.4,0.000439,0.000497,-0.006194,0.000352,  85.045
    36.6,0.000445,0.000503,-0.006093,0.000387,  85.047
    36.8,0.000448,0.000511,-0.006018,0.000401,  85.051
    37.0,0.000454,0.000516,-0.005958,0.000365,  85.051
    37.2,0.000454,0.000516,-0.005917,0.000387,  85.055
    37.4,0.000447,0.000531,-0.005883,0.000387,  85.064
    37.6,0.000450,0.000531,-0.005870,0.000365,  85.074
    37.8,0.000450,0.000541,-0.005782,0.000401,  85.076
    38.0,0.000453,0.000547,-0.005714,0.000401,  85.073
    38.2,0.000453,0.000544,-0.005612,0.000378,  85.085
    38.4,0.000450,0.000546,-0.005592,0.000401,  85.082
    38.6,0.000447,0.000548,-0.005619,0.000401,  85.084
    38.8,0.000450,0.000546,-0.005674,0.000378,  85.086
    39.0,0.000447,0.000549,-0.005748,0.000401,  85.094
    39.2,0.000444,0.000554,-0.005830,0.000401,  85.094
    39.4,0.000447,0.000551,-0.005938,0.000414,  85.093
    39.6,0.000450,0.000547,-0.006047,0.000401,  85.094
    39.8,0.000450,0.000541,-0.006081,0.000401,  85.100
    40.0,0.000447,0.000536,-0.006121,0.000414,  85.099
    40.2,0.000438,0.000539,-0.006128,0.000414,  85.101
    40.4,0.000427,0.000532,-0.006068,0.000414,  85.104
    40.6,0.000418,0.000523,-0.005980,0.000414,  85.104
    40.8,0.000403,0.000512,-0.005837,0.000378,  85.105
    41.0,0.000389,0.000507,-0.005776,0.000414,  85.108
    41.2,0.000383,0.000498,-0.005763,0.000414,  85.109
    41.4,0.000377,0.000489,-0.005762,0.000365,  85.112
    41.6,0.000371,0.000487,-0.005762,0.000387,  85.112
    41.8,0.000371,0.000482,-0.005810,0.000374,  85.113
    42.0,0.000371,0.000476,-0.005858,0.000325,  85.111
    42.2,0.000374,0.000474,-0.005865,0.000348,  85.115
    42.4,0.000377,0.000467,-0.005865,0.000348,  85.114
    42.6,0.000380,0.000470,-0.005838,0.000312,  85.117
    42.8,0.000380,0.000474,-0.005865,0.000361,  85.111
    43.0,0.000386,0.000481,-0.005906,0.000374,  85.104
    43.2,0.000389,0.000488,-0.005954,0.000338,  85.106
    43.4,0.000395,0.000493,-0.005968,0.000374,  85.104
    43.6,0.000389,0.000494,-0.005968,0.000387,  85.100
    43.8,0.000386,0.000492,-0.005954,0.000352,  85.100
    44.0,0.000390,0.000489,-0.005988,0.000352,  85.098
    44.2,0.000390,0.000482,-0.006042,0.000365,  85.094
    44.4,0.000390,0.000479,-0.006130,0.000365,  85.093
    44.6,0.000393,0.000471,-0.006143,0.000352,  85.093
    44.8,0.000390,0.000478,-0.006137,0.000352,  85.090
    45.0,0.000390,0.000476,-0.006110,0.000352,  85.082
    45.2,0.000394,0.000471,-0.006117,0.000352,  85.078
    45.4,0.000391,0.000465,-0.006130,0.000352,  85.075
    45.6,0.000381,0.000461,-0.006151,0.000352,  85.080
    45.8,0.000381,0.000463,-0.006151,0.000387,  85.076
    46.0,0.000378,0.000466,-0.006131,0.000387,  85.073
    46.2,0.000371,0.000464,-0.006104,0.000352,  85.074
    46.4,0.000365,0.000457,-0.006125,0.000387,  85.070
    46.6,0.000369,0.000457,-0.006159,0.000387,  85.072
    46.8,0.000362,0.000459,-0.006199,0.000352,  85.070
    47.0,0.000363,0.000452,-0.006199,0.000387,  85.064
    47.2,0.000364,0.000455,-0.006193,0.000387,  85.063
    47.4,0.000357,0.000457,-0.006200,0.000352,  85.059
    47.6,0.000364,0.000449,-0.006247,0.000387,  85.059
    47.8,0.000364,0.000452,-0.006288,0.000387,  85.054
    48.0,0.000355,0.000455,-0.006376,0.000352,  85.048
    48.2,0.000359,0.000448,-0.006376,0.000387,  85.049
    48.4,0.000353,0.000445,-0.006335,0.000374,  85.044
    48.6,0.000340,0.000443,-0.006308,0.000387,  85.048
    48.8,0.000341,0.000434,-0.006220,0.000361,  85.041
    49.0,0.000332,0.000418,-0.006227,0.000361,  85.040
    49.2,0.000325,0.000408,-0.006247,0.000361,  85.038
    49.4,0.000332,0.000406,-0.006308,0.000348,  85.034
    49.6,0.000335,0.000406,-0.006376,0.000348,  85.033
    49.8,0.000328,0.000399,-0.006444,0.000361,  85.028
    50.0,0.000332,0.000394,-0.006531,0.000312,  85.024
    50.2,0.000329,0.000399,-0.006518,0.000348,  85.018
    50.4,0.000325,0.000399,-0.006458,0.000361,  85.015
    50.6,0.000329,0.000396,-0.006336,0.000312,  85.014
    50.8,0.000329,0.000396,-0.006363,0.000348,  85.013
    51.0,0.000325,0.000398,-0.006437,0.000361,  85.014
    51.2,0.000332,0.000402,-0.006586,0.000325,  85.009
    51.4,0.000335,0.000402,-0.006593,0.000361,  85.010
    51.6,0.000331,0.000405,-0.006546,0.000374,  85.004
    51.8,0.000341,0.000407,-0.006472,0.000338,  85.005
    52.0,0.000344,0.000409,-0.006472,0.000361,  84.999
    52.2,0.000340,0.000411,-0.006519,0.000387,  84.996
    52.4,0.000347,0.000414,-0.006580,0.000352,  84.995
    52.6,0.000341,0.000406,-0.006580,0.000387,  84.988
    52.8,0.000334,0.000406,-0.006593,0.000401,  84.983
    53.0,0.000337,0.000406,-0.006593,0.000365,  84.980
    53.2,0.000334,0.000406,-0.006566,0.000387,  84.973
    53.4,0.000327,0.000408,-0.006540,0.000387,  84.972
    53.6,0.000330,0.000406,-0.006506,0.000352,  84.968
    53.8,0.000337,0.000403,-0.006506,0.000387,  84.963
    54.0,0.000337,0.000400,-0.006560,0.000387,  84.955
    54.2,0.000334,0.000395,-0.006628,0.000352,  84.952
    54.4,0.000341,0.000393,-0.006695,0.000352,  84.949
    54.6,0.000332,0.000396,-0.006783,0.000352,  84.944
    54.8,0.000332,0.000394,-0.006898,0.000352,  84.947
    55.0,0.000329,0.000389,-0.007270,0.000352,  84.943
    55.2,0.000326,0.000387,-0.007790,0.000352,  84.935
    55.4,0.000317,0.000384,-0.008450,0.000352,  84.935
    55.6,0.000315,0.000382,-0.008598,0.000352,  84.926
    55.8,0.000303,0.000377,-0.008578,0.000338,  84.927
    56.0,0.000290,0.000377,-0.008396,0.000338,  84.919
    56.2,0.000288,0.000377,-0.008235,0.000374,  84.918
    56.4,0.000283,0.000378,-0.008012,0.000361,  84.915
    56.6,0.000267,0.000371,-0.007735,0.000325,  84.914
    56.8,0.000265,0.000360,-0.007526,0.000374,  84.907
    57.0,0.000256,0.000347,-0.007338,0.000374,  84.901
    57.2,0.000246,0.000338,-0.007142,0.000325,  84.901
    57.4,0.000246,0.000334,-0.007042,0.000335,  84.899
    57.6,0.000249,0.000330,-0.006974,0.000335,  84.897
    57.8,0.000245,0.000328,-0.007002,0.000335,  84.899
    58.0,0.000245,0.000330,-0.007042,0.000321,  84.890
    58.2,0.000245,0.000330,-0.007042,0.000321,  84.885
    58.4,0.000248,0.000332,-0.007062,0.000335,  84.884
    58.6,0.000251,0.000332,-0.007109,0.000335,  84.889
    58.8,0.000251,0.000331,-0.007211,0.000335,  84.883
    59.0,0.000244,0.000333,-0.007359,0.000348,  84.890
    59.2,0.000244,0.000329,-0.007555,0.000312,  84.890
    59.4,0.000241,0.000325,-0.007609,0.000335,  84.891
    59.6,0.000234,0.000319,-0.007623,0.000348,  84.891
    59.8,0.000230,0.000316,-0.007582,0.000312,  84.892
    60.0,0.000234,0.000318,-0.007596,0.000335,  84.890
    60.2,0.000237,0.000320,-0.007657,0.000348,  84.885
    60.4,0.000236,0.000319,-0.007711,0.000299,  84.883
    60.6,0.000242,0.000321,-0.007711,0.000321,  84.881
    60.8,0.000249,0.000324,-0.007697,0.000335,  84.882
    61.0,0.000250,0.000319,-0.007670,0.000286,  84.882
    61.2,0.000258,0.000325,-0.007590,0.000321,  84.883
    61.4,0.000261,0.000326,-0.007468,0.000335,  84.885
    61.6,0.000264,0.000322,-0.007320,0.000286,  84.884
    61.8,0.000270,0.000325,-0.007705,0.000321,  84.885
    62.0,0.000266,0.000327,-0.008352,0.000335,  84.891
    62.2,0.000266,0.000327,-0.009260,0.000299,  84.885
    62.4,0.000266,0.000330,-0.009314,0.000335,  84.884
    62.6,0.000269,0.000335,-0.009072,0.000348,  84.885
    62.8,0.000269,0.000335,-0.008541,0.000312,  84.889
    63.0,0.000265,0.000337,-0.008359,0.000335,  84.890
    63.2,0.000269,0.000337,-0.008259,0.000348,  84.895
    63.4,0.000266,0.000334,-0.008178,0.000312,  84.894
    63.6,0.000263,0.000336,-0.008029,0.000348,  84.898
    63.8,0.000260,0.000339,-0.007902,0.000361,  84.902
    64.0,0.000257,0.000327,-0.007753,0.000348,  84.905
    64.2,0.000245,0.000328,-0.007612,0.000384,  84.907
    64.4,0.000231,0.000325,-0.007504,0.000397,  84.910
    64.6,0.000228,0.000313,-0.007376,0.000348,  84.912
    64.8,0.000225,0.000314,-0.007396,0.000348,  84.908
    65.0,0.000222,0.000310,-0.007511,0.000348,  84.918
    65.2,0.000222,0.000310,-0.007692,0.000299,  84.922
    65.4,0.000225,0.000310,-0.007686,0.000308,  84.924
    65.6,0.000222,0.000312,-0.007625,0.000308,  84.929
    65.8,0.000222,0.000315,-0.007518,0.000286,  84.930
    66.0,0.000228,0.000312,-0.007539,0.000308,  84.927
    66.2,0.000235,0.000321,-0.007586,0.000308,  84.929
    66.4,0.000234,0.000324,-0.007667,0.000321,  84.933
    66.6,0.000242,0.000324,-0.007680,0.000308,  84.938
    66.8,0.000258,0.000329,-0.007660,0.000321,  84.943
    67.0,0.000257,0.000331,-0.007647,0.000335,  84.940
    67.2,0.000263,0.000331,-0.007606,0.000335,  84.947
    67.4,0.000266,0.000329,-0.007627,0.000335,  84.947
    67.6,0.000269,0.000331,-0.007640,0.000348,  84.948
    67.8,0.000266,0.000333,-0.007681,0.000312,  84.953
    68.0,0.000260,0.000333,-0.007694,0.000348,  84.955
    68.2,0.000263,0.000335,-0.007701,0.000361,  84.950
    68.4,0.000263,0.000335,-0.007728,0.000312,  84.954
    68.6,0.000260,0.000335,-0.007748,0.000348,  84.953
    68.8,0.000263,0.000330,-0.007775,0.000361,  84.951
    69.0,0.000263,0.000325,-0.007822,0.000325,  84.953
    69.2,0.000263,0.000327,-0.007803,0.000361,  84.954
    69.4,0.000266,0.000327,-0.007735,0.000374,  84.958
    69.6,0.000263,0.000325,-0.007655,0.000338,  84.956
    69.8,0.000267,0.000325,-0.007668,0.000361,  84.963
    70.0,0.000263,0.000330,-0.007736,0.000374,  84.960
    70.2,0.000263,0.000325,-0.007843,0.000338,  84.960
    70.4,0.000267,0.000334,-0.007837,0.000361,  84.958
    70.6,0.000263,0.000334,-0.007810,0.000387,  84.961
    70.8,0.000263,0.000332,-0.007729,0.000352,  84.961
    71.0,0.000267,0.000330,-0.007729,0.000387,  84.960
    71.2,0.000257,0.000328,-0.007776,0.000401,  84.964
    71.4,0.000251,0.000326,-0.007837,0.000365,  84.961
    71.6,0.000249,0.000318,-0.007857,0.000387,  84.958
    71.8,0.000244,0.000319,-0.007884,0.000387,  84.965
    72.0,0.000238,0.000314,-0.007931,0.000352,  84.963
    72.2,0.000232,0.000306,-0.007931,0.000352,  84.962
    72.4,0.000223,0.000299,-0.007917,0.000338,  84.970
    72.6,0.000220,0.000291,-0.007883,0.000338,  84.971
    72.8,0.000214,0.000292,-0.007897,0.000325,  84.971
    73.0,0.000204,0.000290,-0.007924,0.000312,  84.966
    73.2,0.000207,0.000283,-0.007964,0.000299,  84.969
    73.4,0.000210,0.000286,-0.008032,0.000272,  84.967
    73.6,0.000216,0.000289,-0.008126,0.000272,  84.967
    73.8,0.000219,0.000287,-0.008254,0.000286,  84.967
    74.0,0.000219,0.000289,-0.008301,0.000272,  84.970
    74.2,0.000219,0.000293,-0.008335,0.000286,  84.975
    74.4,0.000218,0.000292,-0.008335,0.000286,  84.971
    74.6,0.000221,0.000295,-0.008328,0.000286,  84.978
    74.8,0.000224,0.000297,-0.008315,0.000299,  84.980
    75.0,0.000220,0.000302,-0.008282,0.000299,  84.980
    75.2,0.000223,0.000303,-0.008248,0.000299,  84.983
    75.4,0.000233,0.000304,-0.008221,0.000299,  84.983
    75.6,0.000235,0.000307,-0.008161,0.000299,  84.982
    75.8,0.000235,0.000308,-0.008127,0.000263,  84.976
    76.0,0.000235,0.000306,-0.008107,0.000299,  84.977
    76.2,0.000242,0.000303,-0.008107,0.000299,  84.976
    76.4,0.000240,0.000308,-0.008113,0.000299,  84.976
    76.6,0.000234,0.000312,-0.008046,0.000312,  84.976
    76.8,0.000244,0.000311,-0.007979,0.000325,  84.976
    77.0,0.000244,0.000316,-0.007871,0.000312,  84.978
    77.2,0.000237,0.000318,-0.007993,0.000312,  84.983
    77.4,0.000240,0.000320,-0.008255,0.000325,  84.981
    77.6,0.000237,0.000325,-0.008625,0.000312,  84.981
    77.8,0.000237,0.000332,-0.008854,0.000312,  84.980
    78.0,0.000240,0.000334,-0.009049,0.000325,  84.979
    78.2,0.000240,0.000329,-0.009237,0.000312,  84.979
    78.4,0.000242,0.000330,-0.009190,0.000312,  84.976
    78.6,0.000242,0.000330,-0.008995,0.000325,  84.982
    78.8,0.000242,0.000328,-0.008666,0.000325,  84.978
    79.0,0.000242,0.000318,-0.008531,0.000325,  84.978
    79.2,0.000235,0.000321,-0.008437,0.000338,  84.978
    79.4,0.000233,0.000321,-0.008396,0.000338,  84.980
    79.6,0.000227,0.000312,-0.008302,0.000325,  84.982
    79.8,0.000220,0.000312,-0.008207,0.000338,  84.984
    80.0,0.000214,0.000310,-0.008133,0.000338,  84.979
    80.2,0.000212,0.000301,-0.008093,0.000325,  84.979
    80.4,0.000209,0.000301,-0.008073,0.000338,  84.981
    80.6,0.000202,0.000296,-0.008080,0.000325,  84.980
    80.8,0.000206,0.000296,-0.007986,0.000312,  84.982
    81.0,0.000206,0.000298,-0.007844,0.000325,  84.978
    81.2,0.000202,0.000300,-0.007676,0.000312,  84.980
    81.4,0.000209,0.000299,-0.007804,0.000335,  84.984
    81.6,0.000212,0.000301,-0.008060,0.000348,  84.980
    81.8,0.000218,0.000297,-0.008443,0.000335,  84.979
    82.0,0.000224,0.000297,-0.008591,0.000357,  84.980
    82.2,0.000227,0.000299,-0.008713,0.000370,  84.982
    82.4,0.000230,0.000298,-0.008759,0.000370,  84.983
    82.6,0.000230,0.000293,-0.008739,0.000370,  84.986
    82.8,0.000227,0.000300,-0.008679,0.000384,  84.989
    83.0,0.000230,0.000300,-0.008572,0.000384,  84.986
    83.2,0.000230,0.000296,-0.008477,0.000384,  84.983
    83.4,0.000227,0.000301,-0.008390,0.000397,  84.985
    83.6,0.000230,0.000306,-0.008303,0.000384,  84.983
    83.8,0.000233,0.000306,-0.008249,0.000384,  84.977
    84.0,0.000233,0.000312,-0.008181,0.000384,  84.978
    84.2,0.000235,0.000312,-0.008155,0.000361,  84.977
    84.4,0.000233,0.000308,-0.008142,0.000397,  84.979
    84.6,0.000230,0.000297,-0.008142,0.000397,  84.978
    84.8,0.000240,0.000288,-0.008155,0.000397,  84.976
    85.0,0.000237,0.000293,-0.008189,0.000397,  84.973
    85.2,0.000234,0.000295,-0.008209,0.000397,  84.971
    85.4,0.000241,0.000288,-0.008230,0.000410,  84.973
    85.6,0.000238,0.000290,-0.008257,0.000374,  84.976
    85.8,0.000222,0.000288,-0.008210,0.000361,  84.971
    86.0,0.000219,0.000286,-0.008115,0.000374,  84.964
    86.2,0.000219,0.000286,-0.007994,0.000338,  84.962
    86.4,0.000223,0.000276,-0.008028,0.000361,  84.965
    86.6,0.000213,0.000281,-0.008116,0.000374,  84.959
    86.8,0.000210,0.000284,-0.008264,0.000338,  84.963
    87.0,0.000217,0.000279,-0.008318,0.000361,  84.960
    87.2,0.000203,0.000284,-0.008379,0.000374,  84.955
    87.4,0.000195,0.000276,-0.008425,0.000338,  84.955
    87.6,0.000186,0.000279,-0.008378,0.000361,  84.954
    87.8,0.000170,0.000275,-0.008311,0.000374,  84.953
    88.0,0.000161,0.000260,-0.008177,0.000338,  84.954
